Country,Date,nuclear_electricity
Bulgaria,1900,
Bulgaria,1901,
Bulgaria,1902,
Bulgaria,1903,
Bulgaria,1904,
Bulgaria,1905,
Bulgaria,1906,
Bulgaria,1907,
Bulgaria,1908,
Bulgaria,1909,
Bulgaria,1910,
Bulgaria,1911,
Bulgaria,1912,
Bulgaria,1913,
Bulgaria,1914,
Bulgaria,1915,
Bulgaria,1916,
Bulgaria,1917,
Bulgaria,1918,
Bulgaria,1919,
Bulgaria,1920,
Bulgaria,1921,
Bulgaria,1922,
Bulgaria,1923,
Bulgaria,1924,
Bulgaria,1925,
Bulgaria,1926,
Bulgaria,1927,
Bulgaria,1928,
Bulgaria,1929,
Bulgaria,1930,
Bulgaria,1931,
Bulgaria,1932,
Bulgaria,1933,
Bulgaria,1934,
Bulgaria,1935,
Bulgaria,1936,
Bulgaria,1937,
Bulgaria,1938,
Bulgaria,1939,
Bulgaria,1940,
Bulgaria,1941,
Bulgaria,1942,
Bulgaria,1943,
Bulgaria,1944,
Bulgaria,1945,
Bulgaria,1946,
Bulgaria,1947,
Bulgaria,1948,
Bulgaria,1949,
Bulgaria,1950,
Bulgaria,1951,
Bulgaria,1952,
Bulgaria,1953,
Bulgaria,1954,
Bulgaria,1955,
Bulgaria,1956,
Bulgaria,1957,
Bulgaria,1958,
Bulgaria,1959,
Bulgaria,1960,
Bulgaria,1961,
Bulgaria,1962,
Bulgaria,1963,
Bulgaria,1964,
Bulgaria,1965,0
Bulgaria,1966,0
Bulgaria,1967,0
Bulgaria,1968,0
Bulgaria,1969,0
Bulgaria,1970,0
Bulgaria,1971,0
Bulgaria,1972,0
Bulgaria,1973,0
Bulgaria,1974,0.93
Bulgaria,1975,2.55
Bulgaria,1976,4.99
Bulgaria,1977,5.88
Bulgaria,1978,5.91
Bulgaria,1979,6.18
Bulgaria,1980,6.17
Bulgaria,1981,9.12
Bulgaria,1982,10.75
Bulgaria,1983,12.32
Bulgaria,1984,12.74
Bulgaria,1985,13.13
Bulgaria,1986,12.07
Bulgaria,1987,12.44
Bulgaria,1988,16.03
Bulgaria,1989,14.57
Bulgaria,1990,14.66
Bulgaria,1991,13.18
Bulgaria,1992,11.55
Bulgaria,1993,13.97
Bulgaria,1994,15.34
Bulgaria,1995,17.26
Bulgaria,1996,18.08
Bulgaria,1997,17.75
Bulgaria,1998,16.9
Bulgaria,1999,15.81
Bulgaria,2000,18.18
Bulgaria,2001,19.55
Bulgaria,2002,20.22
Bulgaria,2003,17.28
Bulgaria,2004,16.82
Bulgaria,2005,18.65
Bulgaria,2006,19.49
Bulgaria,2007,14.64
Bulgaria,2008,15.77
Bulgaria,2009,15.26
Bulgaria,2010,15.25
Bulgaria,2011,16.31
Bulgaria,2012,15.78
Bulgaria,2013,14.17
Bulgaria,2014,15.87
Bulgaria,2015,15.38
Bulgaria,2016,15.78
Bulgaria,2017,15.55
Bulgaria,2018,16.13
Bulgaria,2019,16.56
Bulgaria,2020,16.63
Bulgaria,2021,16.49
Bulgaria,2022,16.46
Bulgaria,2023,16.24609565
Bulgaria,2024,18.04022265
Bulgaria,2025,19.89111249
Bulgaria,2026,21.77957779
Bulgaria,2027,23.69154006
Bulgaria,2028,25.61803915
Bulgaria,2029,27.5535129
Bulgaria,2030,29.49452507
Bulgaria,2031,31.43895483
Bulgaria,2032,33.38549344
Bulgaria,2033,35.33333333
Bulgaria,2034,36.16666667
Bulgaria,2035,37
Bulgaria,2036,37.83333333
Bulgaria,2037,38.66666667
Bulgaria,2038,39.5
Bulgaria,2039,40.33333333
Bulgaria,2040,41.16666667
Bulgaria,2041,42
Bulgaria,2042,42.83333333
Bulgaria,2043,43.66666667
Bulgaria,2044,44.5
Bulgaria,2045,45.33333333
Bulgaria,2046,46.16666667
Bulgaria,2047,47
Bulgaria,2048,47.83333333
Bulgaria,2049,48.66666667
Bulgaria,2050,49.5
Bulgaria,2051,50.33333333
Bulgaria,2052,51.16666667
Bulgaria,2053,52
Bulgaria,2054,52.83333333
Bulgaria,2055,53.66666667
Bulgaria,2056,54.5
Bulgaria,2057,55.33333333
Bulgaria,2058,56.16666667
Bulgaria,2059,57
Bulgaria,2060,57.83333333
Bulgaria,2061,58.66666667
Bulgaria,2062,59.5
Bulgaria,2063,60.33333333
Bulgaria,2064,61.16666667
Bulgaria,2065,62
Bulgaria,2066,62.83333333
Bulgaria,2067,63.66666667
Bulgaria,2068,64.5
Bulgaria,2069,65.33333333
Bulgaria,2070,66.16666667
Bulgaria,2071,67
Bulgaria,2072,67.83333333
Bulgaria,2073,68.66666667
Bulgaria,2074,69.5
Bulgaria,2075,70.33333333
Bulgaria,2076,71.16666667
Bulgaria,2077,72
Bulgaria,2078,72.83333333
Bulgaria,2079,73.66666667
Bulgaria,2080,74.5
Bulgaria,2081,75.33333333
Bulgaria,2082,76.16666667
Bulgaria,2083,77
Bulgaria,2084,77.83333333
Bulgaria,2085,78.66666667
Bulgaria,2086,79.5
Bulgaria,2087,80.33333333
Bulgaria,2088,81.16666667
Bulgaria,2089,82
Bulgaria,2090,82.83333333
Bulgaria,2091,83.66666667
Bulgaria,2092,84.5
Bulgaria,2093,85.33333333
Bulgaria,2094,86.16666667
Bulgaria,2095,87
Bulgaria,2096,87.83333333
Bulgaria,2097,88.66666667
Bulgaria,2098,89.5
Bulgaria,2099,90.33333333
Bulgaria,2100,91.16666667
Czechia,1965,0
Czechia,1966,0
Czechia,1967,0
Czechia,1968,0
Czechia,1969,0
Czechia,1970,0
Czechia,1971,0
Czechia,1972,0
Czechia,1973,0
Czechia,1974,0
Czechia,1975,0
Czechia,1976,0
Czechia,1977,0
Czechia,1978,0
Czechia,1979,0
Czechia,1980,0
Czechia,1981,0
Czechia,1982,0
Czechia,1983,0.2
Czechia,1984,1.24
Czechia,1985,2.4
Czechia,1986,6.15
Czechia,1987,10.7
Czechia,1988,11.82
Czechia,1989,12.42
Czechia,1990,12.59
Czechia,1991,12.13
Czechia,1992,12.25
Czechia,1993,12.63
Czechia,1994,12.98
Czechia,1995,12.23
Czechia,1996,12.85
Czechia,1997,12.49
Czechia,1998,13.18
Czechia,1999,13.36
Czechia,2000,13.59
Czechia,2001,14.75
Czechia,2002,18.74
Czechia,2003,25.87
Czechia,2004,26.33
Czechia,2005,24.73
Czechia,2006,26.05
Czechia,2007,26.17
Czechia,2008,26.55
Czechia,2009,27.21
Czechia,2010,28
Czechia,2011,28.28
Czechia,2012,30.32
Czechia,2013,30.75
Czechia,2014,30.33
Czechia,2015,26.84
Czechia,2016,24.1
Czechia,2017,28.34
Czechia,2018,29.92
Czechia,2019,30.25
Czechia,2020,30.04
Czechia,2021,30.73
Czechia,2022,31.03
Czechia,2023,31.34073788
Czechia,2024,35.14289491
Czechia,2025,38.94505194
Czechia,2026,42.74720897
Czechia,2027,46.549366
Czechia,2028,50.35152304
Czechia,2029,54.15368007
Czechia,2030,57.9558371
Czechia,2031,61.75799413
Czechia,2032,65.56015116
Czechia,2033,69.36230819
Czechia,2034,73.16446522
Czechia,2035,76.96662225
Czechia,2036,80.76877928
Czechia,2037,84.57093631
Czechia,2038,88.37309335
Czechia,2039,92.17525038
Czechia,2040,95.97740741
Czechia,2041,97.44666667
Czechia,2042,98.91592593
Czechia,2043,100.3851852
Czechia,2044,101.8544444
Czechia,2045,103.3237037
Czechia,2046,104.792963
Czechia,2047,106.2622222
Czechia,2048,107.7314815
Czechia,2049,109.2007407
Czechia,2050,110.67
Czechia,2051,112.1392593
Czechia,2052,113.6085185
Czechia,2053,115.0777778
Czechia,2054,116.547037
Czechia,2055,118.0162963
Czechia,2056,119.4855556
Czechia,2057,120.9548148
Czechia,2058,122.4240741
Czechia,2059,123.8933333
Czechia,2060,125.3625926
Czechia,2061,126.8318519
Czechia,2062,128.3011111
Czechia,2063,129.7703704
Czechia,2064,131.2396296
Czechia,2065,132.7088889
Czechia,2066,134.1781481
Czechia,2067,135.6474074
Czechia,2068,137.1166667
Czechia,2069,138.5859259
Czechia,2070,140.0551852
Czechia,2071,141.5244444
Czechia,2072,142.9937037
Czechia,2073,144.462963
Czechia,2074,145.9322222
Czechia,2075,147.4014815
Czechia,2076,148.8707407
Czechia,2077,150.34
Czechia,2078,151.8092593
Czechia,2079,153.2785185
Czechia,2080,154.7477778
Czechia,2081,156.217037
Czechia,2082,157.6862963
Czechia,2083,159.1555556
Czechia,2084,160.6248148
Czechia,2085,162.0940741
Czechia,2086,163.5633333
Czechia,2087,165.0325926
Czechia,2088,166.5018519
Czechia,2089,167.9711111
Czechia,2090,169.4403704
Czechia,2091,170.9096296
Czechia,2092,172.3788889
Czechia,2093,173.8481481
Czechia,2094,175.3174074
Czechia,2095,176.7866667
Czechia,2096,178.2559259
Czechia,2097,179.7251852
Czechia,2098,181.1944444
Czechia,2099,182.6637037
Czechia,2100,184.132963
Hungary,1900,
Hungary,1901,
Hungary,1902,
Hungary,1903,
Hungary,1904,
Hungary,1905,
Hungary,1906,
Hungary,1907,
Hungary,1908,
Hungary,1909,
Hungary,1910,
Hungary,1911,
Hungary,1912,
Hungary,1913,
Hungary,1914,
Hungary,1915,
Hungary,1916,
Hungary,1917,
Hungary,1918,
Hungary,1919,
Hungary,1920,
Hungary,1921,
Hungary,1922,
Hungary,1923,
Hungary,1924,
Hungary,1925,
Hungary,1926,
Hungary,1927,
Hungary,1928,
Hungary,1929,
Hungary,1930,
Hungary,1931,
Hungary,1932,
Hungary,1933,
Hungary,1934,
Hungary,1935,
Hungary,1936,
Hungary,1937,
Hungary,1938,
Hungary,1939,
Hungary,1940,
Hungary,1941,
Hungary,1942,
Hungary,1943,
Hungary,1944,
Hungary,1945,
Hungary,1946,
Hungary,1947,
Hungary,1948,
Hungary,1949,
Hungary,1950,
Hungary,1951,
Hungary,1952,
Hungary,1953,
Hungary,1954,
Hungary,1955,
Hungary,1956,
Hungary,1957,
Hungary,1958,
Hungary,1959,
Hungary,1960,
Hungary,1961,
Hungary,1962,
Hungary,1963,
Hungary,1964,
Hungary,1965,0
Hungary,1966,0
Hungary,1967,0
Hungary,1968,0
Hungary,1969,0
Hungary,1970,0
Hungary,1971,0
Hungary,1972,0
Hungary,1973,0
Hungary,1974,0
Hungary,1975,0
Hungary,1976,0
Hungary,1977,0
Hungary,1978,0
Hungary,1979,0
Hungary,1980,0
Hungary,1981,0
Hungary,1982,0
Hungary,1983,2.47
Hungary,1984,3.77
Hungary,1985,6.48
Hungary,1986,7.42
Hungary,1987,10.99
Hungary,1988,13.45
Hungary,1989,13.89
Hungary,1990,13.73
Hungary,1991,13.73
Hungary,1992,13.96
Hungary,1993,13.8
Hungary,1994,14.05
Hungary,1995,14.03
Hungary,1996,14.18
Hungary,1997,13.97
Hungary,1998,13.95
Hungary,1999,14.1
Hungary,2000,14.18
Hungary,2001,14.13
Hungary,2002,13.95
Hungary,2003,11.01
Hungary,2004,11.91
Hungary,2005,13.83
Hungary,2006,13.46
Hungary,2007,14.68
Hungary,2008,14.82
Hungary,2009,15.43
Hungary,2010,15.76
Hungary,2011,15.69
Hungary,2012,15.79
Hungary,2013,15.37
Hungary,2014,15.65
Hungary,2015,15.83
Hungary,2016,16.05
Hungary,2017,16.1
Hungary,2018,15.73
Hungary,2019,16.29
Hungary,2020,16.06
Hungary,2021,15.99
Hungary,2022,15.82
Hungary,2023,15.84322978
Hungary,2024,17.86064869
Hungary,2025,19.8780676
Hungary,2026,21.89548652
Hungary,2027,23.91290543
Hungary,2028,25.93032434
Hungary,2029,27.94774326
Hungary,2030,29.96516217
Hungary,2031,31.98258109
Hungary,2032,34
Hungary,2033,34.77777778
Hungary,2034,35.55555556
Hungary,2035,36.33333333
Hungary,2036,37.11111111
Hungary,2037,37.88888889
Hungary,2038,38.66666667
Hungary,2039,39.44444444
Hungary,2040,40.22222222
Hungary,2041,41
Hungary,2042,41.77777778
Hungary,2043,42.55555556
