Country,Date,nuclear_electricity
Finland,1965,0
Finland,1966,0
Finland,1967,0
Finland,1968,0
Finland,1969,0
Finland,1970,0
Finland,1971,0
Finland,1972,0
Finland,1973,0
Finland,1974,0
Finland,1975,0
Finland,1976,0
Finland,1977,2.64
Finland,1978,3.24
Finland,1979,6.7
Finland,1980,6.97
Finland,1981,14.56
Finland,1982,16.66
Finland,1983,17.6
Finland,1984,18.74
Finland,1985,18.93
Finland,1986,18.95
Finland,1987,19.51
Finland,1988,19.42
Finland,1989,18.96
Finland,1990,19.22
Finland,1991,19.51
Finland,1992,19.26
Finland,1993,19.93
Finland,1994,19.43
Finland,1995,19.22
Finland,1996,19.48
Finland,1997,20.89
Finland,1998,21.85
Finland,1999,22.97
Finland,2000,22.48
Finland,2001,22.77
Finland,2002,22.3
Finland,2003,22.73
Finland,2004,22.72
Finland,2005,23.27
Finland,2006,22.91
Finland,2007,23.42
Finland,2008,22.96
Finland,2009,23.53
Finland,2010,22.8
Finland,2011,23.19
Finland,2012,22.99
Finland,2013,23.61
Finland,2014,23.58
Finland,2015,23.25
Finland,2016,23.2
Finland,2017,22.48
Finland,2018,22.79
Finland,2019,23.87
Finland,2020,23.29
Finland,2021,23.6
Finland,2022,25.09
Finland,2023,40
Finland,2024,42.96296296
Finland,2025,45.92592593
Finland,2026,48.88888889
Finland,2027,51.85185185
Finland,2028,54.81481481
Finland,2029,57.77777778
Finland,2030,60.74074074
Finland,2031,63.7037037
Finland,2032,66.66666667
Finland,2033,69.62962963
Finland,2034,72.59259259
Finland,2035,75.55555556
Finland,2036,78.51851852
Finland,2037,81.48148148
Finland,2038,84.44444444
Finland,2039,87.40740741
Finland,2040,90.37037037
Finland,2041,93.33333333
Finland,2042,96.2962963
Finland,2043,99.25925926
Finland,2044,102.2222222
Finland,2045,105.1851852
Finland,2046,108.1481481
Finland,2047,111.1111111
Finland,2048,114.0740741
Finland,2049,117.037037
Finland,2050,120
Finland,2051,122.962963
Finland,2052,125.9259259
Finland,2053,128.8888889
Finland,2054,131.8518519
Finland,2055,134.8148148
Finland,2056,137.7777778
Finland,2057,140.7407407
Finland,2058,143.7037037
Finland,2059,146.6666667
Finland,2060,149.6296296
Finland,2061,152.5925926
Finland,2062,155.5555556
Finland,2063,158.5185185
Finland,2064,161.4814815
Finland,2065,164.4444444
Finland,2066,167.4074074
Finland,2067,170.3703704
Finland,2068,173.3333333
Finland,2069,176.2962963
Finland,2070,179.2592593
Finland,2071,182.2222222
Finland,2072,185.1851852
Finland,2073,188.1481481
Finland,2074,191.1111111
Finland,2075,194.0740741
Finland,2076,197.037037
Finland,2077,200
Finland,2078,202.962963
Finland,2079,205.9259259
Finland,2080,208.8888889
Finland,2081,211.8518519
Finland,2082,214.8148148
Finland,2083,217.7777778
Finland,2084,220.7407407
Finland,2085,223.7037037
Finland,2086,226.6666667
Finland,2087,229.6296296
Finland,2088,232.5925926
Finland,2089,235.5555556
Finland,2090,238.5185185
Finland,2091,241.4814815
Finland,2092,244.4444444
Finland,2093,247.4074074
Finland,2094,250.3703704
Finland,2095,253.3333333
Finland,2096,256.2962963
Finland,2097,259.2592593
Finland,2098,262.2222222
Finland,2099,265.1851852
Finland,2100,268.1481481
France,1900,
France,1901,
France,1902,
France,1903,
France,1904,
France,1905,
France,1906,
France,1907,
France,1908,
France,1909,
France,1910,
France,1911,
France,1912,
France,1913,
France,1914,
France,1915,
France,1916,
France,1917,
France,1918,
France,1919,
France,1920,
France,1921,
France,1922,
France,1923,
France,1924,
France,1925,
France,1926,
France,1927,
France,1928,
France,1929,
France,1930,
France,1931,
France,1932,
France,1933,
France,1934,
France,1935,
France,1936,
France,1937,
France,1938,
France,1939,
France,1940,
France,1941,
France,1942,
France,1943,
France,1944,
France,1945,
France,1946,
France,1947,
France,1948,
France,1949,
France,1950,
France,1951,
France,1952,
France,1953,
France,1954,
France,1955,
France,1956,
France,1957,
France,1958,
France,1959,
France,1960,
France,1961,
France,1962,
France,1963,
France,1964,
France,1965,0.9
France,1966,1.4
France,1967,2.08
France,1968,3.09
France,1969,3.6
France,1970,5.71
France,1971,9.33
France,1972,14.59
France,1973,14.75
France,1974,14.71
France,1975,18.25
France,1976,15.78
France,1977,17.94
France,1978,30.45
France,1979,39.96
France,1980,61.25
France,1981,105.33
France,1982,108.92
France,1983,144.26
France,1984,191.23
France,1985,224.1
France,1986,254.16
