Country,Date,nuclear_electricity
"South Africa (2100) - ARIMA (0, 2, 2)",2023,11.56821823
"South Africa (2100) - ARIMA (0, 2, 2)",2024,14.4870442
"South Africa (2100) - ARIMA (0, 2, 2)",2025,17.40587016
"South Africa (2100) - ARIMA (0, 2, 2)",2026,20.32469613
"South Africa (2100) - ARIMA (0, 2, 2)",2027,23.2435221
"South Africa (2100) - ARIMA (0, 2, 2)",2028,26.16234807
"South Africa (2100) - ARIMA (0, 2, 2)",2029,29.08117403
"South Africa (2100) - ARIMA (0, 2, 2)",2030,32
"South Africa (2100) - ARIMA (0, 2, 2)",2031,32
"South Africa (2100) - ARIMA (0, 2, 2)",2032,32
"South Africa (2100) - ARIMA (0, 2, 2)",2033,32
"South Africa (2100) - ARIMA (0, 2, 2)",2034,32
"South Africa (2100) - ARIMA (0, 2, 2)",2035,32
"South Africa (2100) - ARIMA (0, 2, 2)",2036,32
"South Africa (2100) - ARIMA (0, 2, 2)",2037,32
"South Africa (2100) - ARIMA (0, 2, 2)",2038,32
"South Africa (2100) - ARIMA (0, 2, 2)",2039,32
"South Africa (2100) - ARIMA (0, 2, 2)",2040,32
"South Africa (2100) - ARIMA (0, 2, 2)",2041,32
"South Africa (2100) - ARIMA (0, 2, 2)",2042,32
"South Africa (2100) - ARIMA (0, 2, 2)",2043,32
"South Africa (2100) - ARIMA (0, 2, 2)",2044,32
"South Africa (2100) - ARIMA (0, 2, 2)",2045,32
"South Africa (2100) - ARIMA (0, 2, 2)",2046,32
"South Africa (2100) - ARIMA (0, 2, 2)",2047,32
"South Africa (2100) - ARIMA (0, 2, 2)",2048,32
"South Africa (2100) - ARIMA (0, 2, 2)",2049,32
"South Africa (2100) - ARIMA (0, 2, 2)",2050,32
"South Africa (2100) - ARIMA (0, 2, 2)",2051,32
"South Africa (2100) - ARIMA (0, 2, 2)",2052,32
"South Africa (2100) - ARIMA (0, 2, 2)",2053,32
"South Africa (2100) - ARIMA (0, 2, 2)",2054,32
"South Africa (2100) - ARIMA (0, 2, 2)",2055,32
"South Africa (2100) - ARIMA (0, 2, 2)",2056,32
"South Africa (2100) - ARIMA (0, 2, 2)",2057,32
"South Africa (2100) - ARIMA (0, 2, 2)",2058,32
"South Africa (2100) - ARIMA (0, 2, 2)",2059,32
"South Africa (2100) - ARIMA (0, 2, 2)",2060,32
"South Africa (2100) - ARIMA (0, 2, 2)",2061,32
"South Africa (2100) - ARIMA (0, 2, 2)",2062,32
"South Africa (2100) - ARIMA (0, 2, 2)",2063,32
"South Africa (2100) - ARIMA (0, 2, 2)",2064,32
"South Africa (2100) - ARIMA (0, 2, 2)",2065,32
"South Africa (2100) - ARIMA (0, 2, 2)",2066,32
"South Africa (2100) - ARIMA (0, 2, 2)",2067,32
"South Africa (2100) - ARIMA (0, 2, 2)",2068,32
"South Africa (2100) - ARIMA (0, 2, 2)",2069,32
"South Africa (2100) - ARIMA (0, 2, 2)",2070,32
"South Africa (2100) - ARIMA (0, 2, 2)",2071,32
"South Africa (2100) - ARIMA (0, 2, 2)",2072,32
"South Africa (2100) - ARIMA (0, 2, 2)",2073,32
"South Africa (2100) - ARIMA (0, 2, 2)",2074,32
"South Africa (2100) - ARIMA (0, 2, 2)",2075,32
"South Africa (2100) - ARIMA (0, 2, 2)",2076,32
"South Africa (2100) - ARIMA (0, 2, 2)",2077,32
"South Africa (2100) - ARIMA (0, 2, 2)",2078,32
"South Africa (2100) - ARIMA (0, 2, 2)",2079,32
"South Africa (2100) - ARIMA (0, 2, 2)",2080,32
"South Africa (2100) - ARIMA (0, 2, 2)",2081,32
"South Africa (2100) - ARIMA (0, 2, 2)",2082,32
"South Africa (2100) - ARIMA (0, 2, 2)",2083,32
"South Africa (2100) - ARIMA (0, 2, 2)",2084,32
"South Africa (2100) - ARIMA (0, 2, 2)",2085,32
"South Africa (2100) - ARIMA (0, 2, 2)",2086,32
"South Africa (2100) - ARIMA (0, 2, 2)",2087,32
"South Africa (2100) - ARIMA (0, 2, 2)",2088,32
"South Africa (2100) - ARIMA (0, 2, 2)",2089,32
"South Africa (2100) - ARIMA (0, 2, 2)",2090,32
"South Africa (2100) - ARIMA (0, 2, 2)",2091,32
"South Africa (2100) - ARIMA (0, 2, 2)",2092,32
"South Africa (2100) - ARIMA (0, 2, 2)",2093,32
"South Africa (2100) - ARIMA (0, 2, 2)",2094,32
"South Africa (2100) - ARIMA (0, 2, 2)",2095,32
"South Africa (2100) - ARIMA (0, 2, 2)",2096,32
"South Africa (2100) - ARIMA (0, 2, 2)",2097,32
"South Africa (2100) - ARIMA (0, 2, 2)",2098,32
"South Africa (2100) - ARIMA (0, 2, 2)",2099,32
"South Africa (2100) - ARIMA (0, 2, 2)",2100,32
"Morocco (2100) - ARIMA (0, 0, 0)",2023,0
"Morocco (2100) - ARIMA (0, 0, 0)",2024,0
"Morocco (2100) - ARIMA (0, 0, 0)",2025,0
"Morocco (2100) - ARIMA (0, 0, 0)",2026,0
