Date,Variable,Armenia,Japan,Mongolia,South Korea,United Arab Emirates,Asia_Cop
1985,nuclear_electricity,,159.58,0,16.75,0,20.11521789
1986,nuclear_electricity,,165.37,0,28.31,0,22.09445585
1987,nuclear_electricity,,188.61,0,39.31,0,26.00045631
1988,nuclear_electricity,,173.9,0,40.1,0,24.41250285
1989,nuclear_electricity,,185.81,0,47.37,0,26.60050194
1990,nuclear_electricity,,194.57,0,52.89,0,28.22952316
1991,nuclear_electricity,,208.69,0,56.31,0,30.23043577
1992,nuclear_electricity,,217.04,0,56.53,0,31.20807666
1993,nuclear_electricity,,247.7,0,58.14,0,34.8893452
1994,nuclear_electricity,,258.25,0,58.65,0,36.1510381
1995,nuclear_electricity,,286.89,0,67.03,0,40.37417294
1996,nuclear_electricity,,296.5,0,73.92,0,42.25644536
1997,nuclear_electricity,,321.16,0,77.09,0,45.4312115
1998,nuclear_electricity,,325.97,0,89.69,0,47.41729409
1999,nuclear_electricity,,317.24,0,103.06,0,47.94661191
2000,nuclear_electricity,1.84,319.12,0,103.52,0,48.42345426
2001,nuclear_electricity,1.99,320.54,0,106.53,0,48.94592745
2002,nuclear_electricity,2.09,314.26,0,113.15,0,48.99612138
2003,nuclear_electricity,1.82,230.08,0,123.19,0,40.50764317
2004,nuclear_electricity,2.2,285.87,0,124.18,0,47.02829112
2005,nuclear_electricity,2.5,293.04,0,137.59,0,49.41022131
2006,nuclear_electricity,2.42,304.29,0,141.18,0,51.09399954
2007,nuclear_electricity,2.35,279.01,0,136.6,0,47.67967146
2008,nuclear_electricity,2.27,251.74,0,144.26,0,45.43349304
2009,nuclear_electricity,2.29,274.65,0,141.12,0,47.69107917
2010,nuclear_electricity,2.29,292.35,0,141.89,0,49.7980835
2011,nuclear_electricity,2.36,162.93,0,147.76,0,35.7118412
2012,nuclear_electricity,2.12,17.99,0,143.55,0,18.66986083
2013,nuclear_electricity,2.17,14.6,0,132.46,0,17.02372804
2014,nuclear_electricity,2.27,0,0,149.17,0,17.27583847
2015,nuclear_electricity,2.57,4.52,0,157.16,0,18.73716632
2016,nuclear_electricity,2.19,17.68,0,154.2,0,19.8574036
2017,nuclear_electricity,2.41,29.07,0,141.28,0,19.70796258
2018,nuclear_electricity,1.9,49.11,0,127.08,0,20.31599361
2019,nuclear_electricity,2.03,65.64,0,138.68,0,23.53981291
2020,nuclear_electricity,2.55,43,0,152.58,1.63,22.78804472
2021,nuclear_electricity,1.85,61.22,0,150.52,10.55,25.56924481
