Date,Variable,Armenia,Japan,Mongolia,South Korea,United Arab Emirates,
1985,nuclear_electricity,,159.58,0,16.75,0,0.020115218
1986,nuclear_electricity,,165.37,0,28.31,0,0.022094456
1987,nuclear_electricity,,188.61,0,39.31,0,0.026000456
1988,nuclear_electricity,,173.9,0,40.1,0,0.024412503
1989,nuclear_electricity,,185.81,0,47.37,0,0.026600502
1990,nuclear_electricity,,194.57,0,52.89,0,0.028229523
1991,nuclear_electricity,,208.69,0,56.31,0,0.030230436
1992,nuclear_electricity,,217.04,0,56.53,0,0.031208077
1993,nuclear_electricity,,247.7,0,58.14,0,0.034889345
1994,nuclear_electricity,,258.25,0,58.65,0,0.036151038
1995,nuclear_electricity,,286.89,0,67.03,0,0.040374173
1996,nuclear_electricity,,296.5,0,73.92,0,0.042256445
1997,nuclear_electricity,,321.16,0,77.09,0,0.045431211
1998,nuclear_electricity,,325.97,0,89.69,0,0.047417294
1999,nuclear_electricity,,317.24,0,103.06,0,0.047946612
2000,nuclear_electricity,1.84,319.12,0,103.52,0,0.048423454
2001,nuclear_electricity,1.99,320.54,0,106.53,0,0.048945927
2002,nuclear_electricity,2.09,314.26,0,113.15,0,0.048996121
2003,nuclear_electricity,1.82,230.08,0,123.19,0,0.040507643
2004,nuclear_electricity,2.2,285.87,0,124.18,0,0.047028291
2005,nuclear_electricity,2.5,293.04,0,137.59,0,0.049410221
2006,nuclear_electricity,2.42,304.29,0,141.18,0,0.051094
2007,nuclear_electricity,2.35,279.01,0,136.6,0,0.047679671
2008,nuclear_electricity,2.27,251.74,0,144.26,0,0.045433493
2009,nuclear_electricity,2.29,274.65,0,141.12,0,0.047691079
2010,nuclear_electricity,2.29,292.35,0,141.89,0,0.049798084
2011,nuclear_electricity,2.36,162.93,0,147.76,0,0.035711841
2012,nuclear_electricity,2.12,17.99,0,143.55,0,0.018669861
2013,nuclear_electricity,2.17,14.6,0,132.46,0,0.017023728
2014,nuclear_electricity,2.27,0,0,149.17,0,0.017275838
2015,nuclear_electricity,2.57,4.52,0,157.16,0,0.018737166
2016,nuclear_electricity,2.19,17.68,0,154.2,0,0.019857404
2017,nuclear_electricity,2.41,29.07,0,141.28,0,0.019707963
2018,nuclear_electricity,1.9,49.11,0,127.08,0,0.020315994
2019,nuclear_electricity,2.03,65.64,0,138.68,0,0.023539813
2020,nuclear_electricity,2.55,43,0,152.58,1.63,0.022788045
2021,nuclear_electricity,1.85,61.22,0,150.52,10.55,0.025569245
2022,nuclear_electricity,2.203631397,51.77,0,168.58,20.1,0.027681226
2023,nuclear_electricity,2.596358847,43.30480779,0,177.1840582,24.78876797,0.02827675
2024,nuclear_electricity,2.989086297,72.5423149,0,189.3527968,25.90378259,0.033172254
2025,nuclear_electricity,3.381813747,101.779822,0,201.5215354,29.29611642,0.038327548
2026,nuclear_electricity,3.774541198,131.0173291,0,213.690274,35.52851695,0.043806829
2027,nuclear_electricity,4.167268648,160.2548362,0,225.8590126,41.41305824,0.049246427
2028,nuclear_electricity,4.559996098,189.4923433,0,238.0277512,45.14096193,0.054440001
2029,nuclear_electricity,4.952723548,218.7298504,0,250.1964897,48.15893963,0.05955259
2030,nuclear_electricity,5.345450998,247.9673575,0,262.3652283,52.38315244,0.064802782
2031,nuclear_electricity,5.738178448,277.2048647,0,274.5339669,57.6422016,0.070171026
2032,nuclear_electricity,6.130905898,306.6,0,286.7027055,62.50906354,0.075512511
2033,nuclear_electricity,6.523633348,340.6666667,0,298.8714441,66.47254437,0.081283857
2034,nuclear_electricity,6.916360798,374.7333333,0,311.0401827,70.31244072,0.087041104
2035,nuclear_electricity,7.309088248,408.8,0,323.2089212,74.73458478,0.092864772
2036,nuclear_electricity,7.701815699,442.8666667,0,335.3776598,79.50175566,0.0987278
2037,nuclear_electricity,8.094543149,476.9333333,0,347.5463984,84.01119389,0.104561427
2038,nuclear_electricity,8.487270599,511,0,359.715137,88.16319601,0.110354278
2039,nuclear_electricity,8.879998049,545.0666667,0,371.8838756,92.33861497,0.116149801
2040,nuclear_electricity,9.272725499,579.1333333,0,384.0526142,96.77643817,0.121975258
2041,nuclear_electricity,9.665452949,613.2,0,396.2213527,101.3139725,0.12781209
2042,nuclear_electricity,10.0581804,647.2666667,0,408.3900913,105.7106458,0.133632852
2043,nuclear_electricity,10.45090785,681.3333333,0,420.5588299,109.9746223,0.139438477
2044,nuclear_electricity,10.8436353,715.4,0,432.7275685,114.2791482,0.145248728
2045,nuclear_electricity,11.23636275,749.4666667,0,444.8963071,118.6952002,0.151071702
2046,nuclear_electricity,11.6290902,783.5333333,0,457.0650457,123.1320569,0.156897048
2047,nuclear_electricity,12.02181765,817.6,0,469.2337842,127.4994898,0.162714475
2048,nuclear_electricity,12.4145451,851.6666667,0,481.4025228,131.8215043,0.168526721
2049,nuclear_electricity,12.80727255,885.7333333,0,493.5712614,136.1723539,0.174342257
2050,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2051,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2052,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2053,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2054,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2055,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2056,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2057,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2058,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2059,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2060,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2061,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2062,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2063,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2064,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2065,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2066,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2067,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2068,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2069,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2070,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2071,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2072,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2073,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2074,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2075,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2076,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2077,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2078,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2079,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2080,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2081,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2082,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2083,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2084,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2085,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2086,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2087,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2088,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2089,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2090,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2091,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2092,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2093,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2094,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2095,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2096,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2097,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2098,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2099,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
2100,nuclear_electricity,13.2,919.8,0,505.74,140.568,0.180162902
