Date,Variable,China,India,Iran,Kazakhstan,Pakistan,Taiwan,Asia
1985,nuclear_electricity,0,4.51,0,0,0.39,28.73,0.003836413
1986,nuclear_electricity,0,5.02,0,0,0.53,26.94,0.003706366
1987,nuclear_electricity,0,5.32,0,0,0.31,33.13,0.004421629
1988,nuclear_electricity,0,6.08,0,0,0.19,30.65,0.004211727
1989,nuclear_electricity,0,4.02,0,0.1,0.12,28.28,0.003709788
1990,nuclear_electricity,0,6.4,0,0,0.42,32.87,0.004527721
1991,nuclear_electricity,0,5.41,0,0.54,0.42,35.29,0.004752453
1992,nuclear_electricity,0,6.4,0,0.46,0.55,33.85,0.004706822
1993,nuclear_electricity,1.6,6.23,0,0.45,0.41,34.35,0.004909879
1994,nuclear_electricity,14.76,4.95,0,0.38,0.59,34.87,0.006336984
1995,nuclear_electricity,12.83,7.62,0,0.08,0.52,35.32,0.006430527
1996,nuclear_electricity,14.34,8.4,0,0.09,0.33,37.79,0.006953
1997,nuclear_electricity,14.42,10.07,0,0.3,0.45,36.27,0.007016883
1998,nuclear_electricity,14.1,11.37,0,0.09,0.39,36.87,0.007166324
1999,nuclear_electricity,14.95,12.73,0,0,0.08,38.01,0.007502852
2000,nuclear_electricity,16.74,15.77,0,0,0.38,38.5,0.008143965
2001,nuclear_electricity,17.47,18.89,0,0,1.98,35.49,0.008422313
2002,nuclear_electricity,25.13,19.35,0,0,1.8,39.55,0.009791239
2003,nuclear_electricity,43.34,18.14,0,0,1.81,38.89,0.0116564
2004,nuclear_electricity,50.47,21.26,0,0,1.93,39.49,0.012907826
2005,nuclear_electricity,53.09,17.73,0,0,2.41,39.97,0.01291353
2006,nuclear_electricity,54.84,17.63,0,0,2.55,39.87,0.01310632
2007,nuclear_electricity,62.13,17.83,0,0,2.31,40.54,0.014009811
2008,nuclear_electricity,68.39,15.23,0,0,1.74,40.83,0.014395391
2009,nuclear_electricity,70.05,16.82,0,0,2.64,41.57,0.014953228
2010,nuclear_electricity,74.74,23.08,0,0,2.56,41.63,0.016200091
2011,nuclear_electricity,87.2,32.22,0.11,0,3.84,42.12,0.018878622
2012,nuclear_electricity,98.32,33.14,1.45,0,5.27,40.42,0.020374173
2013,nuclear_electricity,111.5,33.31,4.26,0,4.4,41.64,0.022257586
2014,nuclear_electricity,133.22,34.69,4.07,0,4.58,42.39,0.024977185
2015,nuclear_electricity,171.38,38.31,3.5,0,4.33,36.47,0.028974447
2016,nuclear_electricity,213.18,37.9,6.47,0,5.44,31.66,0.033612822
2017,nuclear_electricity,248.1,37.41,6.96,0,8.11,22.45,0.036850331
2018,nuclear_electricity,295,39.05,6.89,0,9.29,27.68,0.043110883
2019,nuclear_electricity,348.7,45.16,6.41,0,9.07,32.32,0.050383299
2020,nuclear_electricity,366.2,44.61,6.33,0,9.64,31.44,0.052272416
2021,nuclear_electricity,407.5,43.92,3.54,0,15.74,27.79,0.056866302
2022,nuclear_electricity,417.8,46.19,6.57,0,22.43,23.76,0.05894935
2023,nuclear_electricity,438.9216246,47.60533931,6.378886659,0.017913279,25.28915344,21.85148321,0.061608989
2024,nuclear_electricity,526.0608123,66.2634219,10.31944333,1.898504399,29.98165893,10.99837705,0.073639313
2025,nuclear_electricity,613.2,84.92150449,14.26,3.77610207,37.04659906,0,0.085923364
2026,nuclear_electricity,724.38,103.5795871,16.92666667,5.651377124,47.40706636,0,0.102434942
2027,nuclear_electricity,835.56,122.2376697,19.59333333,7.525001346,57.86465963,0,0.118957411
2028,nuclear_electricity,946.74,140.8957522,22.26,9.397439034,65.30016393,0,0.135134994
2029,nuclear_electricity,1057.92,159.5538348,24.92666667,11.26902516,70.51526592,0,0.151059182
2030,nuclear_electricity,1169.1,178.2119174,27.59333333,13.14,77,0,0.167128137
2031,nuclear_electricity,1280.28,196.87,30.26,13.359,86.46157553,0,0.183348229
2032,nuclear_electricity,1391.46,341.1158621,32.92666667,13.578,96.82993643,0,0.213998456
2033,nuclear_electricity,1502.64,485.3617241,35.59333333,13.797,105.0455434,0,0.244403103
2034,nuclear_electricity,1613.82,629.6075862,38.26,14.016,110.8939754,0,0.27453771
2035,nuclear_electricity,1725,773.8534483,40.92666667,14.235,117.0933695,0,0.304712353
2036,nuclear_electricity,1843.6,918.0993103,43.59333333,14.454,125.7599662,0,0.3360149
2037,nuclear_electricity,1962.2,1062.345172,46.26,14.673,135.8357869,0,0.367478207
2038,nuclear_electricity,2080.8,1206.591034,48.92666667,14.892,144.5908001,0,0.39879084
2039,nuclear_electricity,2199.4,1350.836897,51.59333333,15.111,151.0936318,0,0.429846551
2040,nuclear_electricity,2318,1495.082759,54.26,15.33,157.2482545,0,0.460862539
2041,nuclear_electricity,2436.6,1639.328621,56.92666667,15.549,165.2696145,0,0.492091479
2042,nuclear_electricity,2555.2,1783.574483,59.59333333,15.768,174.9327976,0,0.523507713
2043,nuclear_electricity,2673.8,1927.820345,62.26,15.987,184.0021709,0,0.554856208
2044,nuclear_electricity,2792.4,2072.066207,64.92666667,16.206,191.1134647,0,0.58598133
2045,nuclear_electricity,2911,2216.312069,67.59333333,16.425,197.4019959,0,0.617012594
2046,nuclear_electricity,3029.6,2360.557931,70.26,16.644,204.9470943,0,0.648187203
2047,nuclear_electricity,3148.2,2504.803793,72.92666667,16.863,214.1491321,0,0.679550832
2048,nuclear_electricity,3266.8,2649.049655,75.59333333,17.082,223.3402243,0,0.710913212
2049,nuclear_electricity,3385.4,2793.295517,78.26,17.301,230.9697383,0,0.742097451
2050,nuclear_electricity,3504,2937.541379,80.92666667,17.52,237.5092524,0,0.773157346
2051,nuclear_electricity,3622.6,3081.787241,83.59333333,17.739,244.7452064,0,0.80429669
2052,nuclear_electricity,3741.2,3226.033103,86.26,17.958,253.4940556,0,0.83560862
2053,nuclear_electricity,3859.8,3370.278966,88.92666667,18.177,262.6557515,0,0.866967646
2054,nuclear_electricity,3978.4,3514.524828,91.59333333,18.396,270.6895503,0,0.898198005
2055,nuclear_electricity,4097,3658.77069,94.26,18.615,277.5414852,0,0.92929354
2056,nuclear_electricity,4215.6,3803.016552,96.92666667,18.834,284.6184305,0,0.960414744
2057,nuclear_electricity,4334.2,3947.262414,99.59333333,19.053,292.9622587,0,0.991680471
2058,nuclear_electricity,4452.8,4091.508276,102.26,19.272,301.9877001,0,1.023023953
2059,nuclear_electricity,4571.4,4235.754138,104.9266667,19.491,310.305322,0,1.05428669
2060,nuclear_electricity,4690,4380,107.5933333,19.71,317.4850127,0,1.085419615
2061,nuclear_electricity,4808.6,4524.245862,110.26,19.929,324.5267226,0,1.1165368
2062,nuclear_electricity,4927.2,4668.491724,112.9266667,20.148,332.5383572,0,1.14776463
2063,nuclear_electricity,5045.8,4812.737586,115.5933333,20.367,341.3627836,0,1.179085182
2064,nuclear_electricity,5164.4,4956.983448,118.26,20.586,349.8503021,0,1.2103673
2065,nuclear_electricity,5283,5101.22931,120.9266667,20.805,357.33821,0,1.241535385
2066,nuclear_electricity,5401.6,5245.475172,123.5933333,21.024,364.4377572,0,1.272659168
2067,nuclear_electricity,5520.2,5389.721034,126.26,21.243,372.2010992,0,1.303858674
2068,nuclear_electricity,5638.8,5533.966897,128.9266667,21.462,380.7963429,0,1.335153081
2069,nuclear_electricity,5757.4,5678.212759,131.5933333,21.681,389.3552299,0,1.36644334
2070,nuclear_electricity,5876,5822.458621,134.26,21.9,397.1083489,0,1.39764168
2071,nuclear_electricity,5994.6,5966.704483,136.9266667,22.119,404.3278308,0,1.428779144
2072,nuclear_electricity,6113.2,6110.950345,139.5933333,22.338,411.926964,0,1.459959918
2073,nuclear_electricity,6231.8,6255.196207,142.26,22.557,420.2940347,0,1.491228296
2074,nuclear_electricity,6350.4,6399.442069,144.9266667,22.776,428.8461483,0,1.522517783
2075,nuclear_electricity,6469,6543.687931,147.5933333,22.995,436.8084739,0,1.553739988
2076,nuclear_electricity,6587.6,6687.933793,150.26,23.214,444.1817118,0,1.584894993
2077,nuclear_electricity,6706.2,6832.179655,152.9266667,23.433,451.6929865,0,1.616065744
2078,nuclear_electricity,6824.8,6976.425517,155.5933333,23.652,459.8539622,0,1.647310611
2079,nuclear_electricity,6943.4,7120.671379,158.26,23.871,468.3432574,0,1.678592931
2080,nuclear_electricity,7062,7264.917241,160.9266667,24.09,476.4545966,0,1.709832136
2081,nuclear_electricity,7180.6,7409.163103,163.5933333,24.309,483.9917378,0,1.741005838
2082,nuclear_electricity,7299.2,7553.408966,166.26,24.528,491.4787524,0,1.772173821
2083,nuclear_electricity,7417.8,7697.654828,168.9266667,24.747,499.4689274,0,1.803399204
2084,nuclear_electricity,7536.4,7841.90069,171.5933333,24.966,507.86063,0,1.834670392
2085,nuclear_electricity,7655,7986.146552,174.26,25.185,516.0633826,0,1.865920024
2086,nuclear_electricity,7773.6,8130.392414,176.9266667,25.404,523.756454,0,1.897111514
2087,nuclear_electricity,7892.2,8274.638276,179.5933333,25.623,531.2676079,0,1.928282252
2088,nuclear_electricity,8010.8,8418.884138,182.26,25.842,539.1285607,0,1.959492893
2089,nuclear_electricity,8129.4,8563.13,184.9266667,26.061,547.4065778,0,1.990751112
2090,nuclear_electricity,8248,8707.375862,187.5933333,26.28,555.6504128,0,2.022005431
2091,nuclear_electricity,8366.6,8851.621724,190.26,26.499,563.4790439,0,2.053212385
2092,nuclear_electricity,8485.2,8995.867586,192.9266667,26.718,571.0471842,0,2.084389623
2093,nuclear_electricity,8603.8,9140.113448,195.5933333,26.937,578.8211619,0,2.115590343
2094,nuclear_electricity,8722.4,9284.35931,198.26,27.156,586.9844561,0,2.146835474
2095,nuclear_electricity,8841,9428.605172,200.9266667,27.375,595.2290239,0,2.178089877
