Date,Variable,Bulgaria,Czechia,Hungary,Moldova,Poland,Romania,Slovakia,Ukraine,East_Europe_Cop
1985,nuclear_electricity,13.13,2.4,6.48,,0,0,9.38,53.31,0.009662332
1986,nuclear_electricity,12.07,6.15,7.42,,0,0,11.72,42.71,0.009134155
1987,nuclear_electricity,12.44,10.7,10.99,,0,0,11.51,50.43,0.010959389
1988,nuclear_electricity,16.03,11.82,13.45,,0,0,11.47,72,0.014233402
1989,nuclear_electricity,14.57,12.42,13.89,,0,0,12.16,66.52,0.01363906
1990,nuclear_electricity,14.66,12.59,13.73,,0,0,12.04,76.18,0.014738763
1991,nuclear_electricity,13.18,12.13,13.73,,0,0,11.69,75.13,0.014357746
1992,nuclear_electricity,11.55,12.25,13.96,,0,0,11.05,73.75,0.013981291
1993,nuclear_electricity,13.97,12.63,13.8,,0,0,11.49,75.24,0.014502624
1994,nuclear_electricity,15.34,12.98,14.05,,0,0,12.6,68.85,0.014125029
1995,nuclear_electricity,17.26,12.23,14.03,,0,0,11.44,70.52,0.014314397
1996,nuclear_electricity,18.08,12.85,14.18,,0,1.39,11.25,79.58,0.01566621
1997,nuclear_electricity,17.75,12.49,13.97,,0,5.4,11.07,79.43,0.015983345
1998,nuclear_electricity,16.9,13.18,13.95,,0,5.31,11.39,75.24,0.015511065
1999,nuclear_electricity,15.81,13.36,14.1,,0,5.2,13.12,72.07,0.015247547
2000,nuclear_electricity,18.18,13.59,14.18,0,0,5.46,16.49,77.34,0.01656856
2001,nuclear_electricity,19.55,14.75,14.13,0,0,5.45,17.1,76.17,0.016786448
2002,nuclear_electricity,20.22,18.74,13.95,0,0,5.51,17.95,77.99,0.017608944
2003,nuclear_electricity,17.28,25.87,11.01,0,0,4.91,17.86,81.41,0.018062971
2004,nuclear_electricity,16.82,26.33,11.91,0,0,5.55,17.03,87.02,0.018783938
2005,nuclear_electricity,18.65,24.73,13.83,0,0,5.55,17.73,88.76,0.019307552
2006,nuclear_electricity,19.49,26.05,13.46,0,0,5.63,18.01,90.22,0.01971937
2007,nuclear_electricity,14.64,26.17,14.68,0,0,7.71,15.33,92.54,0.019515172
2008,nuclear_electricity,15.77,26.55,14.82,0,0,11.23,16.7,89.84,0.019953228
2009,nuclear_electricity,15.26,27.21,15.43,0,0,11.75,14.08,82.92,0.019010951
2010,nuclear_electricity,15.25,28,15.76,0,0,11.62,14.57,89.15,0.019889345
2011,nuclear_electricity,16.31,28.28,15.69,0,0,11.75,15.41,90.25,0.020270363
2012,nuclear_electricity,15.78,30.32,15.79,0,0,11.47,15.49,90.14,0.020418663
2013,nuclear_electricity,14.17,30.75,15.37,0,0,11.62,15.72,83.21,0.019488935
2014,nuclear_electricity,15.87,30.33,15.65,0,0,11.68,15.5,88.39,0.020239562
2015,nuclear_electricity,15.38,26.84,15.83,0,0,11.64,15.15,87.63,0.01967488
2016,nuclear_electricity,15.78,24.1,16.05,0,0,11.29,14.77,80.95,0.018587725
2017,nuclear_electricity,15.55,28.34,16.1,0,0,11.51,15.08,85.58,0.019639516
2018,nuclear_electricity,16.13,29.92,15.73,0,0,11.38,14.84,84.4,0.019666895
2019,nuclear_electricity,16.56,30.25,16.29,0,0,11.28,15.28,83,0.019696555
2020,nuclear_electricity,16.63,30.04,16.06,0,0,11.47,15.44,76.2,0.018918549
2021,nuclear_electricity,16.49,30.73,15.99,0,0,11.28,15.73,86.29,0.020135752
2022,nuclear_electricity,16.46,31.03,15.82,0,0,11.11,15.91,63.26,0.017521104
2023,nuclear_electricity,16.24609565,31.34073788,15.84322978,0,0,11.29063403,16.08517703,69.49669122,0.018286854
2024,nuclear_electricity,18.04022265,35.14289491,17.86064869,0,0,13.61541589,17.61511598,79.4282584,0.020728104
2025,nuclear_electricity,19.89111249,38.94505194,19.8780676,0,0,15.94019774,19.14505493,89.35982559,0.023175828
2026,nuclear_electricity,21.77957779,42.74720897,21.89548652,0,0,18.2649796,20.67499389,99.29139277,0.025627839
2027,nuclear_electricity,23.69154006,46.549366,23.91290543,0,0,20.58976146,22.20493284,109.22296,0.028082531
2028,nuclear_electricity,25.61803915,50.35152304,25.93032434,0,0,22.91454332,23.73487179,119.1545271,0.030538881
2029,nuclear_electricity,27.5535129,54.15368007,27.94774326,0,0,25.23932517,25.26481074,129.0860943,0.032996254
2030,nuclear_electricity,29.49452507,57.9558371,29.96516217,0,0,27.56410703,26.79474969,139.0176615,0.03545426
2031,nuclear_electricity,31.43895483,61.75799413,31.98258109,0,0,29.88888889,28.32468864,148.9492287,0.037912655
2032,nuclear_electricity,33.38549344,65.56015116,34,0,0,31,29.85462759,158.8807959,0.040232839
2033,nuclear_electricity,35.33333333,69.36230819,34.77777778,0,10.95,32.11111111,31.38456654,168.8123631,0.043660901
2034,nuclear_electricity,36.16666667,73.16446522,35.55555556,0,13.39764706,33.22222222,32.91450549,178.7439302,0.0459919
2035,nuclear_electricity,37,76.96662225,36.33333333,0,15.84529412,34.33333333,34.44444444,188.6754974,0.048322898
