Date,Variable,Bulgaria,Czechia,Hungary,Moldova,Poland,Romania,Slovakia,Ukraine,
1985,nuclear_electricity,13.13,2.4,6.48,,0,0,9.38,53.31,0.009662332
1986,nuclear_electricity,12.07,6.15,7.42,,0,0,11.72,42.71,0.009134155
1987,nuclear_electricity,12.44,10.7,10.99,,0,0,11.51,50.43,0.010959389
1988,nuclear_electricity,16.03,11.82,13.45,,0,0,11.47,72,0.014233402
1989,nuclear_electricity,14.57,12.42,13.89,,0,0,12.16,66.52,0.01363906
1990,nuclear_electricity,14.66,12.59,13.73,,0,0,12.04,76.18,0.014738763
1991,nuclear_electricity,13.18,12.13,13.73,,0,0,11.69,75.13,0.014357746
1992,nuclear_electricity,11.55,12.25,13.96,,0,0,11.05,73.75,0.013981291
1993,nuclear_electricity,13.97,12.63,13.8,,0,0,11.49,75.24,0.014502624
1994,nuclear_electricity,15.34,12.98,14.05,,0,0,12.6,68.85,0.014125029
1995,nuclear_electricity,17.26,12.23,14.03,,0,0,11.44,70.52,0.014314397
1996,nuclear_electricity,18.08,12.85,14.18,,0,1.39,11.25,79.58,0.01566621
1997,nuclear_electricity,17.75,12.49,13.97,,0,5.4,11.07,79.43,0.015983345
1998,nuclear_electricity,16.9,13.18,13.95,,0,5.31,11.39,75.24,0.015511065
1999,nuclear_electricity,15.81,13.36,14.1,,0,5.2,13.12,72.07,0.015247547
2000,nuclear_electricity,18.18,13.59,14.18,0,0,5.46,16.49,77.34,0.01656856
2001,nuclear_electricity,19.55,14.75,14.13,0,0,5.45,17.1,76.17,0.016786448
2002,nuclear_electricity,20.22,18.74,13.95,0,0,5.51,17.95,77.99,0.017608944
2003,nuclear_electricity,17.28,25.87,11.01,0,0,4.91,17.86,81.41,0.018062971
2004,nuclear_electricity,16.82,26.33,11.91,0,0,5.55,17.03,87.02,0.018783938
2005,nuclear_electricity,18.65,24.73,13.83,0,0,5.55,17.73,88.76,0.019307552
2006,nuclear_electricity,19.49,26.05,13.46,0,0,5.63,18.01,90.22,0.01971937
2007,nuclear_electricity,14.64,26.17,14.68,0,0,7.71,15.33,92.54,0.019515172
2008,nuclear_electricity,15.77,26.55,14.82,0,0,11.23,16.7,89.84,0.019953228
2009,nuclear_electricity,15.26,27.21,15.43,0,0,11.75,14.08,82.92,0.019010951
2010,nuclear_electricity,15.25,28,15.76,0,0,11.62,14.57,89.15,0.019889345
2011,nuclear_electricity,16.31,28.28,15.69,0,0,11.75,15.41,90.25,0.020270363
2012,nuclear_electricity,15.78,30.32,15.79,0,0,11.47,15.49,90.14,0.020418663
2013,nuclear_electricity,14.17,30.75,15.37,0,0,11.62,15.72,83.21,0.019488935
2014,nuclear_electricity,15.87,30.33,15.65,0,0,11.68,15.5,88.39,0.020239562
2015,nuclear_electricity,15.38,26.84,15.83,0,0,11.64,15.15,87.63,0.01967488
2016,nuclear_electricity,15.78,24.1,16.05,0,0,11.29,14.77,80.95,0.018587725
2017,nuclear_electricity,15.55,28.34,16.1,0,0,11.51,15.08,85.58,0.019639516
2018,nuclear_electricity,16.13,29.92,15.73,0,0,11.38,14.84,84.4,0.019666895
2019,nuclear_electricity,16.56,30.25,16.29,0,0,11.28,15.28,83,0.019696555
2020,nuclear_electricity,16.63,30.04,16.06,0,0,11.47,15.44,76.2,0.018918549
2021,nuclear_electricity,16.49,30.73,15.99,0,0,11.28,15.73,86.29,0.020135752
2022,nuclear_electricity,16.46,31.03,15.82,0,0,11.11,15.91,63.26,0.017521104
2023,nuclear_electricity,16.24609565,31.34073788,15.84322978,0,0,11.29063403,16.08517703,69.49669122,0.018286854
2024,nuclear_electricity,17.33730118,33.62441426,17.03422127,0,0,12.12801795,17.56720751,73.95162858,0.019580515
2025,nuclear_electricity,18.48526956,35.90809063,18.22521276,0,0,12.96540188,19.04923799,78.40656594,0.02088065
2026,nuclear_electricity,19.6708134,38.19176701,19.41620424,0,0,13.8027858,20.53126847,82.86150331,0.022185072
2027,nuclear_electricity,20.87985419,40.47544338,20.60719573,0,0,14.64016973,22.01329895,87.31644067,0.023492175
2028,nuclear_electricity,22.10343182,42.75911976,21.79818722,0,0,15.47755365,23.49532943,91.77137803,0.024800935
2029,nuclear_electricity,23.3359841,45.04279613,22.98917871,0,0,16.31493758,24.97735991,96.22631539,0.02611072
2030,nuclear_electricity,24.57407481,47.3264725,24.1801702,0,0,17.1523215,26.45939039,100.6812528,0.027421136
2031,nuclear_electricity,25.8155831,49.61014888,25.37116169,0,0,17.98970543,27.94142087,105.1361901,0.028731943
2032,nuclear_electricity,27.05920025,51.89382525,26.56215318,0,0,18.82708935,29.42345135,109.5911275,0.03004299
2033,nuclear_electricity,28.30411867,54.17750163,27.75314467,0,0,19.66447328,30.90548183,114.0460648,0.031354185
2034,nuclear_electricity,29.54984006,56.461178,28.94413616,0,1.932352941,20.5018572,32.38751232,118.5010022,0.032885909
2035,nuclear_electricity,30.79605692,58.74485438,30.13512765,0,3.864705882,21.33924113,33.8695428,122.9559396,0.03441769
