Date,Variable,Mexico
1900,nuclear_electricity,
1901,nuclear_electricity,
1902,nuclear_electricity,
1903,nuclear_electricity,
1904,nuclear_electricity,
1905,nuclear_electricity,
1906,nuclear_electricity,
1907,nuclear_electricity,
1908,nuclear_electricity,
1909,nuclear_electricity,
1910,nuclear_electricity,
1911,nuclear_electricity,
1912,nuclear_electricity,
1913,nuclear_electricity,
1914,nuclear_electricity,
1915,nuclear_electricity,
1916,nuclear_electricity,
1917,nuclear_electricity,
1918,nuclear_electricity,
1919,nuclear_electricity,
1920,nuclear_electricity,
1921,nuclear_electricity,
1922,nuclear_electricity,
1923,nuclear_electricity,
1924,nuclear_electricity,
1925,nuclear_electricity,
1926,nuclear_electricity,
1927,nuclear_electricity,
1928,nuclear_electricity,
1929,nuclear_electricity,
1930,nuclear_electricity,
1931,nuclear_electricity,
1932,nuclear_electricity,
1933,nuclear_electricity,
1934,nuclear_electricity,
1935,nuclear_electricity,
1936,nuclear_electricity,
1937,nuclear_electricity,
1938,nuclear_electricity,
1939,nuclear_electricity,
1940,nuclear_electricity,
1941,nuclear_electricity,
1942,nuclear_electricity,
1943,nuclear_electricity,
1944,nuclear_electricity,
1945,nuclear_electricity,
1946,nuclear_electricity,
1947,nuclear_electricity,
1948,nuclear_electricity,
1949,nuclear_electricity,
1950,nuclear_electricity,
1951,nuclear_electricity,
1952,nuclear_electricity,
1953,nuclear_electricity,
1954,nuclear_electricity,
1955,nuclear_electricity,
1956,nuclear_electricity,
1957,nuclear_electricity,
1958,nuclear_electricity,
1959,nuclear_electricity,
1960,nuclear_electricity,
1961,nuclear_electricity,
1962,nuclear_electricity,
1963,nuclear_electricity,
1964,nuclear_electricity,
1965,nuclear_electricity,0.0
1966,nuclear_electricity,0.0
1967,nuclear_electricity,0.0
1968,nuclear_electricity,0.0
1969,nuclear_electricity,0.0
1970,nuclear_electricity,0.0
1971,nuclear_electricity,0.0
1972,nuclear_electricity,0.0
1973,nuclear_electricity,0.0
1974,nuclear_electricity,0.0
1975,nuclear_electricity,0.0
1976,nuclear_electricity,0.0
1977,nuclear_electricity,0.0
1978,nuclear_electricity,0.0
1979,nuclear_electricity,0.0
1980,nuclear_electricity,0.0
1981,nuclear_electricity,0.0
1982,nuclear_electricity,0.0
1983,nuclear_electricity,0.0
1984,nuclear_electricity,0.0
1985,nuclear_electricity,0.0
1986,nuclear_electricity,0.0
1987,nuclear_electricity,0.0
1988,nuclear_electricity,0.0
1989,nuclear_electricity,0.37
1990,nuclear_electricity,2.94
1991,nuclear_electricity,4.24
1992,nuclear_electricity,3.92
1993,nuclear_electricity,4.93
1994,nuclear_electricity,4.24
1995,nuclear_electricity,8.44
1996,nuclear_electricity,7.88
1997,nuclear_electricity,10.46
1998,nuclear_electricity,9.27
1999,nuclear_electricity,10.0
2000,nuclear_electricity,7.81
2001,nuclear_electricity,8.29
2002,nuclear_electricity,9.26
