Date,Variable,Russia
1985,nuclear_electricity,99.32
1986,nuclear_electricity,105.22
1987,nuclear_electricity,124.7
1988,nuclear_electricity,134.81
1989,nuclear_electricity,136.34
1990,nuclear_electricity,118.33
1991,nuclear_electricity,119.98
1992,nuclear_electricity,119.63
1993,nuclear_electricity,119.19
1994,nuclear_electricity,97.82
1995,nuclear_electricity,99.53
1996,nuclear_electricity,109.03
1997,nuclear_electricity,108.5
1998,nuclear_electricity,103.72
1999,nuclear_electricity,121.87
2000,nuclear_electricity,122.46
2001,nuclear_electricity,125.36
2002,nuclear_electricity,134.14
2003,nuclear_electricity,141.17
2004,nuclear_electricity,137.47
2005,nuclear_electricity,137.64
2006,nuclear_electricity,144.65
2007,nuclear_electricity,147.99
2008,nuclear_electricity,152.06
2009,nuclear_electricity,152.78
2010,nuclear_electricity,159.41
2011,nuclear_electricity,162.02
2012,nuclear_electricity,166.29
2013,nuclear_electricity,161.38
2014,nuclear_electricity,169.07
2015,nuclear_electricity,182.81
2016,nuclear_electricity,184.05
2017,nuclear_electricity,190.12
2018,nuclear_electricity,181.76
2019,nuclear_electricity,195.54
2020,nuclear_electricity,215.74
2021,nuclear_electricity,222.44
2022,nuclear_electricity,223.41
2023,nuclear_electricity,226.34373822956204
2024,nuclear_electricity,252.8448973184606
2025,nuclear_electricity,279.3460564073592
2026,nuclear_electricity,305.84721549625766
2027,nuclear_electricity,332.3483745851562
2028,nuclear_electricity,358.8495336740548
2029,nuclear_electricity,385.3506927629533
2030,nuclear_electricity,411.8518518518519
2031,nuclear_electricity,416.2592592592592
2032,nuclear_electricity,420.6666666666667
2033,nuclear_electricity,425.0740740740741
2034,nuclear_electricity,429.4814814814815
2035,nuclear_electricity,433.8888888888889
2036,nuclear_electricity,438.2962962962963
2037,nuclear_electricity,442.7037037037037
2038,nuclear_electricity,447.1111111111111
2039,nuclear_electricity,451.5185185185185
2040,nuclear_electricity,455.9259259259259
2041,nuclear_electricity,460.3333333333333
2042,nuclear_electricity,464.7407407407408
2043,nuclear_electricity,469.14814814814815
2044,nuclear_electricity,473.55555555555554
2045,nuclear_electricity,477.9629629629629
2046,nuclear_electricity,482.3703703703704
2047,nuclear_electricity,486.77777777777777
2048,nuclear_electricity,491.1851851851852
2049,nuclear_electricity,495.5925925925926
2050,nuclear_electricity,500.0
2051,nuclear_electricity,504.4074074074074
2052,nuclear_electricity,508.8148148148148
2053,nuclear_electricity,513.2222222222222
2054,nuclear_electricity,517.6296296296296
2055,nuclear_electricity,522.0370370370371
2056,nuclear_electricity,526.4444444444445
2057,nuclear_electricity,530.8518518518518
2058,nuclear_electricity,535.2592592592592
2059,nuclear_electricity,539.6666666666666
2060,nuclear_electricity,544.0740740740741
2061,nuclear_electricity,548.4814814814815
2062,nuclear_electricity,552.8888888888889
2063,nuclear_electricity,557.2962962962963
2064,nuclear_electricity,561.7037037037037
2065,nuclear_electricity,566.1111111111111
2066,nuclear_electricity,570.5185185185185
2067,nuclear_electricity,574.9259259259259
2068,nuclear_electricity,579.3333333333334
2069,nuclear_electricity,583.7407407407408
2070,nuclear_electricity,588.1481481481482
2071,nuclear_electricity,592.5555555555555
2072,nuclear_electricity,596.9629629629629
2073,nuclear_electricity,601.3703703703704
2074,nuclear_electricity,605.7777777777778
2075,nuclear_electricity,610.1851851851852
2076,nuclear_electricity,614.5925925925926
2077,nuclear_electricity,619.0
2078,nuclear_electricity,623.4074074074074
2079,nuclear_electricity,627.8148148148148
2080,nuclear_electricity,632.2222222222222
2081,nuclear_electricity,636.6296296296296
2082,nuclear_electricity,641.0370370370371
2083,nuclear_electricity,645.4444444444445
2084,nuclear_electricity,649.8518518518518
2085,nuclear_electricity,654.2592592592592
2086,nuclear_electricity,658.6666666666667
2087,nuclear_electricity,663.0740740740741
2088,nuclear_electricity,667.4814814814815
2089,nuclear_electricity,671.8888888888889
2090,nuclear_electricity,676.2962962962963
2091,nuclear_electricity,680.7037037037037
2092,nuclear_electricity,685.1111111111111
2093,nuclear_electricity,689.5185185185185
2094,nuclear_electricity,693.9259259259259
2095,nuclear_electricity,698.3333333333333
2096,nuclear_electricity,702.7407407407408
2097,nuclear_electricity,707.1481481481482
2098,nuclear_electricity,711.5555555555555
2099,nuclear_electricity,715.962962962963
2100,nuclear_electricity,720.3703703703704
