Date,Variable,Finland,France,Netherlands,Slovenia,Sweden,United Kingdom,
1985,nuclear_electricity,18.93,224.1,3.9,,58.56,61.1,0.04181953
1986,nuclear_electricity,18.95,254.16,4.22,,69.95,59.08,0.046356377
1987,nuclear_electricity,19.51,265.52,3.56,,67.39,55.24,0.046910792
1988,nuclear_electricity,19.42,275.52,3.68,,69.42,63.46,0.049224276
1989,nuclear_electricity,18.96,303.93,4.02,,65.6,71.73,0.05295916
1990,nuclear_electricity,19.22,314.08,3.5,4.62,68.18,65.75,0.054226557
1991,nuclear_electricity,19.51,331.34,3.33,4.95,76.76,70.54,0.057772074
1992,nuclear_electricity,19.26,338.45,3.8,3.97,63.54,76.81,0.057703628
1993,nuclear_electricity,19.93,368.19,3.95,3.96,61.4,89.35,0.062375086
1994,nuclear_electricity,19.43,359.98,3.97,4.61,73.16,88.28,0.06267739
1995,nuclear_electricity,19.22,377.23,4.02,4.78,69.93,88.96,0.064355464
1996,nuclear_electricity,19.48,397.34,4.16,4.65,74.27,94.67,0.067826831
1997,nuclear_electricity,20.89,395.48,2.41,5.02,69.93,98.15,0.067519963
1998,nuclear_electricity,21.85,387.99,3.81,5.04,73.58,99.49,0.067506274
1999,nuclear_electricity,22.97,394.24,3.83,4.7,73.19,95.13,0.067768652
2000,nuclear_electricity,22.48,415.16,3.93,4.76,57.32,85.06,0.067158339
2001,nuclear_electricity,22.77,421.08,3.98,5.26,72.11,90.09,0.070190509
2002,nuclear_electricity,22.3,436.76,3.91,5.53,68.11,87.85,0.071236596
2003,nuclear_electricity,22.73,441.07,4.02,5.21,67.42,88.69,0.071770477
2004,nuclear_electricity,22.72,448.24,3.82,5.46,77.49,80,0.072750399
2005,nuclear_electricity,23.27,451.53,4,5.88,72.38,81.62,0.072858773
2006,nuclear_electricity,22.91,450.19,3.47,5.55,66.98,75.45,0.071246863
2007,nuclear_electricity,23.42,439.73,4.2,5.7,66.97,63.03,0.068794205
2008,nuclear_electricity,22.96,439.45,4.17,6.27,63.89,52.49,0.067217659
2009,nuclear_electricity,23.53,409.74,4.25,5.74,52.17,69.1,0.064399954
2010,nuclear_electricity,22.8,428.52,3.97,5.66,57.83,62.14,0.066269678
2011,nuclear_electricity,23.19,442.39,4.14,6.22,60.47,68.98,0.069061145
2012,nuclear_electricity,22.99,425.41,3.91,5.53,64.04,70.41,0.067566735
2013,nuclear_electricity,23.61,423.68,2.89,5.3,66.46,70.61,0.067596395
2014,nuclear_electricity,23.58,436.48,4.09,6.37,64.88,63.75,0.068349304
2015,nuclear_electricity,23.25,437.43,4.08,5.65,56.35,70.34,0.068115446
2016,nuclear_electricity,23.2,403.2,3.96,5.72,63.1,71.73,0.065127766
2017,nuclear_electricity,22.48,398.36,3.4,6.29,65.7,70.34,0.064632672
2018,nuclear_electricity,22.79,412.94,3.51,5.78,68.55,65.06,0.066008442
2019,nuclear_electricity,23.87,399.01,3.91,5.82,66.13,56.18,0.063303673
2020,nuclear_electricity,23.29,353.83,4.09,6.35,49.2,50.28,0.055560119
2021,nuclear_electricity,23.6,379.36,3.83,5.71,52.97,45.9,0.058335615
2022,nuclear_electricity,25.09,297.88,4.14,5.59,51.4,47.72,0.04926078
2023,nuclear_electricity,40,301.9969451,3.837626703,6.26366401,53.49873045,45.67658701,0.051479986
2024,nuclear_electricity,42.96296296,330.6836577,5.109491144,6.353589334,55.20716958,60.7473543,0.057159962
2025,nuclear_electricity,45.92592593,359.3703704,6.381355586,6.555635344,56.91560871,75.8181216,0.062852728
2026,nuclear_electricity,48.88888889,384.5555556,7.653220027,7.495735922,58.62404784,90.88888889,0.068230246
2027,nuclear_electricity,51.85185185,405.4074074,8.925084469,7.764128863,60.33248697,95.85185185,0.071883734
2028,nuclear_electricity,54.81481481,426.2592593,10.19694891,7.942425575,62.0409261,100.8148148,0.075526944
2029,nuclear_electricity,57.77777778,447.1111111,11.46881335,8.752120345,63.74936523,105.7777778,0.079242182
2030,nuclear_electricity,60.74074074,467.962963,12.74067779,9.142485016,65.45780436,110.7407407,0.082909584
2031,nuclear_electricity,63.7037037,488.8148148,14.01254223,9.334124794,67.16624348,115.7037037,0.086554316
2032,nuclear_electricity,66.66666667,509.6666667,15.28440668,10.03153057,68.87468261,120.6666667,0.090256744
2033,nuclear_electricity,69.62962963,530.5185185,16.55627112,10.49870713,70.58312174,125.6296296,0.093932909
2034,nuclear_electricity,72.59259259,551.3703704,17.82813556,10.72393598,72.29156087,130.5925926,0.097581473
2035,nuclear_electricity,75.55555556,572.2222222,19.1,11.33089998,74,135.5555556,0.101273584
2036,nuclear_electricity,78.51851852,593.0740741,20.37186444,11.84087221,75.70843913,140.5185185,0.10495463
2037,nuclear_electricity,81.48148148,613.9259259,21.64372888,12.10809309,77.41687826,145.4814815,0.108607984
2038,nuclear_electricity,84.44444444,634.7777778,22.91559332,12.64643469,79.12531739,150.4444444,0.112292267
2039,nuclear_electricity,87.40740741,655.6296296,24.18745777,13.1750963,80.83375652,155.4074074,0.115975445
2040,nuclear_electricity,90.37037037,676.4814815,25.45932221,13.48497323,82.54219564,160.3703704,0.119633666
2041,nuclear_electricity,93.33333333,697.3333333,26.73118665,13.97429939,84.25063477,165.3333333,0.123312357
2042,nuclear_electricity,96.2962963,718.1851852,28.00305109,14.50573843,85.9590739,170.2962963,0.126995852
2043,nuclear_electricity,99.25925926,739.037037,29.27491553,14.85436434,87.66751303,175.2592593,0.130658493
2044,nuclear_electricity,102.2222222,759.8888889,30.54677997,15.31102069,89.37595216,180.2222222,0.134333457
2045,nuclear_electricity,105.1851852,780.7407407,31.81864441,15.8356963,91.08439129,185.1851852,0.138016181
2046,nuclear_electricity,108.1481481,801.5925926,33.09050886,16.21689677,92.79283042,190.1481481,0.141682538
2047,nuclear_electricity,111.1111111,822.4444444,34.3623733,16.65368549,94.50126955,195.1111111,0.145355236
2048,nuclear_electricity,114.0740741,843.2962963,35.63423774,17.16672532,96.20970868,200.0740741,0.149036632
2049,nuclear_electricity,117.037037,864.1481481,36.90610218,17.5736278,97.9181478,205.037037,0.152705921
2050,nuclear_electricity,120,885,38.17796662,18,99.62658693,210,0.15637743
2051,nuclear_electricity,122.962963,905.8518519,39.44983106,18.4997394,101.3350261,214.962963,0.160057309
2052,nuclear_electricity,125.9259259,926.7037037,40.7216955,18.92575675,103.0434652,219.9259259,0.163728779
2053,nuclear_electricity,128.8888889,947.5555556,41.99355995,19.3482618,104.7519043,224.8888889,0.167399847
