Country,Date,nuclear_electricity
"Japan (2100) - ARIMA (0, 2, 2)",2023,42.948803580745434
"Japan (2100) - ARIMA (0, 2, 2)",2024,43.7643227387224
"Japan (2100) - ARIMA (0, 2, 2)",2025,44.579841896699364
"Japan (2100) - ARIMA (0, 2, 2)",2026,45.395361054676314
"Japan (2100) - ARIMA (0, 2, 2)",2027,46.21088021265328
"Japan (2100) - ARIMA (0, 2, 2)",2028,47.026399370630244
"Japan (2100) - ARIMA (0, 2, 2)",2029,47.841918528607195
"Japan (2100) - ARIMA (0, 2, 2)",2030,48.65743768658416
"Japan (2100) - ARIMA (0, 2, 2)",2031,49.47295684456112
"Japan (2100) - ARIMA (0, 2, 2)",2032,50.288476002538076
"Japan (2100) - ARIMA (0, 2, 2)",2033,55.55555555555556
"Japan (2100) - ARIMA (0, 2, 2)",2034,61.11111111111111
"Japan (2100) - ARIMA (0, 2, 2)",2035,66.66666666666666
"Japan (2100) - ARIMA (0, 2, 2)",2036,72.22222222222221
"Japan (2100) - ARIMA (0, 2, 2)",2037,77.77777777777777
"Japan (2100) - ARIMA (0, 2, 2)",2038,83.33333333333333
"Japan (2100) - ARIMA (0, 2, 2)",2039,88.88888888888889
"Japan (2100) - ARIMA (0, 2, 2)",2040,94.44444444444444
"Japan (2100) - ARIMA (0, 2, 2)",2041,100.0
"Japan (2100) - ARIMA (0, 2, 2)",2042,105.55555555555556
"Japan (2100) - ARIMA (0, 2, 2)",2043,111.11111111111111
"Japan (2100) - ARIMA (0, 2, 2)",2044,116.66666666666666
"Japan (2100) - ARIMA (0, 2, 2)",2045,122.22222222222221
"Japan (2100) - ARIMA (0, 2, 2)",2046,127.77777777777777
"Japan (2100) - ARIMA (0, 2, 2)",2047,133.33333333333331
"Japan (2100) - ARIMA (0, 2, 2)",2048,138.88888888888889
"Japan (2100) - ARIMA (0, 2, 2)",2049,144.44444444444443
"Japan (2100) - ARIMA (0, 2, 2)",2050,150.0
"Japan (2100) - ARIMA (0, 2, 2)",2051,155.55555555555554
"Japan (2100) - ARIMA (0, 2, 2)",2052,161.11111111111111
"Japan (2100) - ARIMA (0, 2, 2)",2053,166.66666666666666
"Japan (2100) - ARIMA (0, 2, 2)",2054,172.22222222222223
"Japan (2100) - ARIMA (0, 2, 2)",2055,177.77777777777777
"Japan (2100) - ARIMA (0, 2, 2)",2056,183.33333333333331
"Japan (2100) - ARIMA (0, 2, 2)",2057,188.88888888888889
"Japan (2100) - ARIMA (0, 2, 2)",2058,194.44444444444443
"Japan (2100) - ARIMA (0, 2, 2)",2059,200.0
"Japan (2100) - ARIMA (0, 2, 2)",2060,205.55555555555554
"Japan (2100) - ARIMA (0, 2, 2)",2061,211.11111111111111
"Japan (2100) - ARIMA (0, 2, 2)",2062,216.66666666666666
"Japan (2100) - ARIMA (0, 2, 2)",2063,222.22222222222223
"Japan (2100) - ARIMA (0, 2, 2)",2064,227.77777777777777
"Japan (2100) - ARIMA (0, 2, 2)",2065,233.33333333333331
"Japan (2100) - ARIMA (0, 2, 2)",2066,238.88888888888889
"Japan (2100) - ARIMA (0, 2, 2)",2067,244.44444444444443
"Japan (2100) - ARIMA (0, 2, 2)",2068,250.0
"Japan (2100) - ARIMA (0, 2, 2)",2069,255.55555555555554
"Japan (2100) - ARIMA (0, 2, 2)",2070,261.1111111111111
"Japan (2100) - ARIMA (0, 2, 2)",2071,266.66666666666663
"Japan (2100) - ARIMA (0, 2, 2)",2072,272.22222222222223
"Japan (2100) - ARIMA (0, 2, 2)",2073,277.77777777777777
"Japan (2100) - ARIMA (0, 2, 2)",2074,283.3333333333333
"Japan (2100) - ARIMA (0, 2, 2)",2075,288.88888888888886
"Japan (2100) - ARIMA (0, 2, 2)",2076,294.44444444444446
"Japan (2100) - ARIMA (0, 2, 2)",2077,300.0
"Japan (2100) - ARIMA (0, 2, 2)",2078,305.55555555555554
"Japan (2100) - ARIMA (0, 2, 2)",2079,311.1111111111111
"Japan (2100) - ARIMA (0, 2, 2)",2080,316.66666666666663
"Japan (2100) - ARIMA (0, 2, 2)",2081,322.22222222222223
"Japan (2100) - ARIMA (0, 2, 2)",2082,327.77777777777777
"Japan (2100) - ARIMA (0, 2, 2)",2083,333.3333333333333
"Japan (2100) - ARIMA (0, 2, 2)",2084,338.88888888888886
"Japan (2100) - ARIMA (0, 2, 2)",2085,344.44444444444446
"Japan (2100) - ARIMA (0, 2, 2)",2086,350.0
"Japan (2100) - ARIMA (0, 2, 2)",2087,355.55555555555554
"Japan (2100) - ARIMA (0, 2, 2)",2088,361.1111111111111
"Japan (2100) - ARIMA (0, 2, 2)",2089,366.66666666666663
"Japan (2100) - ARIMA (0, 2, 2)",2090,372.22222222222223
"Japan (2100) - ARIMA (0, 2, 2)",2091,377.77777777777777
"Japan (2100) - ARIMA (0, 2, 2)",2092,383.3333333333333
"Japan (2100) - ARIMA (0, 2, 2)",2093,388.88888888888886
"Japan (2100) - ARIMA (0, 2, 2)",2094,394.44444444444446
"Japan (2100) - ARIMA (0, 2, 2)",2095,400.0
"Japan (2100) - ARIMA (0, 2, 2)",2096,405.55555555555554
"Japan (2100) - ARIMA (0, 2, 2)",2097,411.1111111111111
"Japan (2100) - ARIMA (0, 2, 2)",2098,416.66666666666663
"Japan (2100) - ARIMA (0, 2, 2)",2099,422.22222222222223
"Japan (2100) - ARIMA (0, 2, 2)",2100,427.77777777777777
"South Korea (2100) - ARIMA (0, 2, 2)",2023,176.70039678445045
"South Korea (2100) - ARIMA (0, 2, 2)",2024,188.67445616280415
"South Korea (2100) - ARIMA (0, 2, 2)",2025,200.64851554115782
"South Korea (2100) - ARIMA (0, 2, 2)",2026,212.62257491951152
"South Korea (2100) - ARIMA (0, 2, 2)",2027,224.5966342978652
"South Korea (2100) - ARIMA (0, 2, 2)",2028,236.5706936762189
"South Korea (2100) - ARIMA (0, 2, 2)",2029,248.54475305457257
"South Korea (2100) - ARIMA (0, 2, 2)",2030,260.51881243292627
"South Korea (2100) - ARIMA (0, 2, 2)",2031,272.49287181127994
"South Korea (2100) - ARIMA (0, 2, 2)",2032,284.46693118963367
"South Korea (2100) - ARIMA (0, 2, 2)",2033,296.44099056798734
"South Korea (2100) - ARIMA (0, 2, 2)",2034,308.415049946341
"South Korea (2100) - ARIMA (0, 2, 2)",2035,320.3891093246947
"South Korea (2100) - ARIMA (0, 2, 2)",2036,332.36316870304836
"South Korea (2100) - ARIMA (0, 2, 2)",2037,344.3372280814021
"South Korea (2100) - ARIMA (0, 2, 2)",2038,356.31128745975576
"South Korea (2100) - ARIMA (0, 2, 2)",2039,368.28534683810943
"South Korea (2100) - ARIMA (0, 2, 2)",2040,380.25940621646316
"South Korea (2100) - ARIMA (0, 2, 2)",2041,392.23346559481683
"South Korea (2100) - ARIMA (0, 2, 2)",2042,404.2075249731705
"South Korea (2100) - ARIMA (0, 2, 2)",2043,416.1815843515242
"South Korea (2100) - ARIMA (0, 2, 2)",2044,428.15564372987785
"South Korea (2100) - ARIMA (0, 2, 2)",2045,440.1297031082316
