Country,Date,nuclear_electricity
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2023,0.01795622650783881
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2024,0.19211582737028143
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2025,0.3632610924256575
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2026,0.532074792408229
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2027,0.6992330913634887
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2028,0.8652032651322195
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2029,1.0303218951858553
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2030,14.14074074074074
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2031,14.303703703703704
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2032,14.466666666666667
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2033,14.62962962962963
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2034,14.792592592592593
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2035,14.955555555555556
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2036,15.118518518518517
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2037,15.281481481481482
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2038,15.444444444444443
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2039,15.607407407407408
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2040,15.770370370370369
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2041,15.933333333333334
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2042,16.096296296296295
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2043,16.25925925925926
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2044,16.42222222222222
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2045,16.585185185185185
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2046,16.748148148148147
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2047,16.91111111111111
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2048,17.074074074074073
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2049,17.237037037037034
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2050,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2051,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2052,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2053,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2054,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2055,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2056,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2057,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2058,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2059,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2060,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2061,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2062,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2063,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2064,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2065,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2066,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2067,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2068,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2069,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2070,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2071,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2072,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2073,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2074,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2075,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2076,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2077,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2078,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2079,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2080,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2081,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2082,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2083,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2084,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2085,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2086,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2087,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2088,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2089,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2090,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2091,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2092,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2093,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2094,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2095,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2096,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2097,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2098,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2099,17.4
"Kazakhstan (2100) - ARIMA (2, 0, 0)",2100,17.4
"China (2100) - ARIMA (0, 2, 2)",2023,438.92169134849763
"China (2100) - ARIMA (0, 2, 2)",2024,452.0320885239946
"China (2100) - ARIMA (0, 2, 2)",2025,465.1424856994916
"China (2100) - ARIMA (0, 2, 2)",2026,478.2528828749886
"China (2100) - ARIMA (0, 2, 2)",2027,491.36328005048557
"China (2100) - ARIMA (0, 2, 2)",2028,504.47367722598256
"China (2100) - ARIMA (0, 2, 2)",2029,517.5840744014796
"China (2100) - ARIMA (0, 2, 2)",2030,530.6944715769766
"China (2100) - ARIMA (0, 2, 2)",2031,543.8048687524737
"China (2100) - ARIMA (0, 2, 2)",2032,556.9152659279707
"China (2100) - ARIMA (0, 2, 2)",2033,570.0256631034678
"China (2100) - ARIMA (0, 2, 2)",2034,583.1360602789648
"China (2100) - ARIMA (0, 2, 2)",2035,596.2464574544618
"China (2100) - ARIMA (0, 2, 2)",2036,609.3568546299589
"China (2100) - ARIMA (0, 2, 2)",2037,622.4672518054559
"China (2100) - ARIMA (0, 2, 2)",2038,635.577648980953
"China (2100) - ARIMA (0, 2, 2)",2039,648.68804615645
"China (2100) - ARIMA (0, 2, 2)",2040,661.798443331947
"China (2100) - ARIMA (0, 2, 2)",2041,674.9088405074441
"China (2100) - ARIMA (0, 2, 2)",2042,688.0192376829411
"China (2100) - ARIMA (0, 2, 2)",2043,701.1296348584382
"China (2100) - ARIMA (0, 2, 2)",2044,714.2400320339352
"China (2100) - ARIMA (0, 2, 2)",2045,727.3504292094323
"China (2100) - ARIMA (0, 2, 2)",2046,740.4608263849293
"China (2100) - ARIMA (0, 2, 2)",2047,753.5712235604263
"China (2100) - ARIMA (0, 2, 2)",2048,766.6816207359234
"China (2100) - ARIMA (0, 2, 2)",2049,779.7920179114204
"China (2100) - ARIMA (0, 2, 2)",2050,792.9024150869175
"China (2100) - ARIMA (0, 2, 2)",2051,806.0128122624145
"China (2100) - ARIMA (0, 2, 2)",2052,819.1232094379116
"China (2100) - ARIMA (0, 2, 2)",2053,832.2336066134086
"China (2100) - ARIMA (0, 2, 2)",2054,845.3440037889056
"China (2100) - ARIMA (0, 2, 2)",2055,858.4544009644027
"China (2100) - ARIMA (0, 2, 2)",2056,871.5647981398997
"China (2100) - ARIMA (0, 2, 2)",2057,884.6751953153968
"China (2100) - ARIMA (0, 2, 2)",2058,897.7855924908938
"China (2100) - ARIMA (0, 2, 2)",2059,910.8959896663908
"China (2100) - ARIMA (0, 2, 2)",2060,924.0063868418879
"China (2100) - ARIMA (0, 2, 2)",2061,937.1167840173849
"China (2100) - ARIMA (0, 2, 2)",2062,950.227181192882
"China (2100) - ARIMA (0, 2, 2)",2063,963.337578368379
"China (2100) - ARIMA (0, 2, 2)",2064,976.447975543876
"China (2100) - ARIMA (0, 2, 2)",2065,989.5583727193731
"China (2100) - ARIMA (0, 2, 2)",2066,1002.6687698948701
"China (2100) - ARIMA (0, 2, 2)",2067,1015.7791670703672
"China (2100) - ARIMA (0, 2, 2)",2068,1028.8895642458642
"China (2100) - ARIMA (0, 2, 2)",2069,1041.9999614213611
"China (2100) - ARIMA (0, 2, 2)",2070,1055.110358596858
"China (2100) - ARIMA (0, 2, 2)",2071,1068.220755772355
"China (2100) - ARIMA (0, 2, 2)",2072,1081.331152947852
"China (2100) - ARIMA (0, 2, 2)",2073,1094.4415501233489
"China (2100) - ARIMA (0, 2, 2)",2074,1107.5519472988458
"China (2100) - ARIMA (0, 2, 2)",2075,1120.6623444743427
"China (2100) - ARIMA (0, 2, 2)",2076,1133.7727416498396
"China (2100) - ARIMA (0, 2, 2)",2077,1146.8831388253366
"China (2100) - ARIMA (0, 2, 2)",2078,1159.9935360008335
"China (2100) - ARIMA (0, 2, 2)",2079,1173.1039331763304
"China (2100) - ARIMA (0, 2, 2)",2080,1186.2143303518274
"China (2100) - ARIMA (0, 2, 2)",2081,1199.3247275273243
"China (2100) - ARIMA (0, 2, 2)",2082,1212.4351247028212
"China (2100) - ARIMA (0, 2, 2)",2083,1225.5455218783181
"China (2100) - ARIMA (0, 2, 2)",2084,1238.655919053815
"China (2100) - ARIMA (0, 2, 2)",2085,1251.766316229312
"China (2100) - ARIMA (0, 2, 2)",2086,1264.876713404809
"China (2100) - ARIMA (0, 2, 2)",2087,1277.9871105803059
"China (2100) - ARIMA (0, 2, 2)",2088,1291.0975077558028
"China (2100) - ARIMA (0, 2, 2)",2089,1304.2079049312997
"China (2100) - ARIMA (0, 2, 2)",2090,1317.3183021067966
"China (2100) - ARIMA (0, 2, 2)",2091,1330.4286992822936
"China (2100) - ARIMA (0, 2, 2)",2092,1343.5390964577905
"China (2100) - ARIMA (0, 2, 2)",2093,1356.6494936332874
"China (2100) - ARIMA (0, 2, 2)",2094,1369.7598908087843
"China (2100) - ARIMA (0, 2, 2)",2095,1382.8702879842813
"China (2100) - ARIMA (0, 2, 2)",2096,1395.9806851597782
"China (2100) - ARIMA (0, 2, 2)",2097,1409.0910823352751
"China (2100) - ARIMA (0, 2, 2)",2098,1422.201479510772
"China (2100) - ARIMA (0, 2, 2)",2099,1435.311876686269
"China (2100) - ARIMA (0, 2, 2)",2100,1448.422273861766
"India (2100) - ARIMA (0, 2, 2)",2023,47.60720190714985
"India (2100) - ARIMA (0, 2, 2)",2024,54.68457957897486
"India (2100) - ARIMA (0, 2, 2)",2025,61.761957250799874
"India (2100) - ARIMA (0, 2, 2)",2026,68.83933492262489
"India (2100) - ARIMA (0, 2, 2)",2027,75.91671259444989
"India (2100) - ARIMA (0, 2, 2)",2028,82.9940902662749
"India (2100) - ARIMA (0, 2, 2)",2029,90.07146793809991
"India (2100) - ARIMA (0, 2, 2)",2030,97.14884560992492
"India (2100) - ARIMA (0, 2, 2)",2031,104.22622328174992
"India (2100) - ARIMA (0, 2, 2)",2032,111.30360095357493
"India (2100) - ARIMA (0, 2, 2)",2033,118.38097862539993
"India (2100) - ARIMA (0, 2, 2)",2034,125.45835629722495
"India (2100) - ARIMA (0, 2, 2)",2035,132.53573396904994
"India (2100) - ARIMA (0, 2, 2)",2036,139.61311164087496
"India (2100) - ARIMA (0, 2, 2)",2037,146.69048931269998
"India (2100) - ARIMA (0, 2, 2)",2038,153.76786698452497
"India (2100) - ARIMA (0, 2, 2)",2039,160.84524465635
"India (2100) - ARIMA (0, 2, 2)",2040,167.922622328175
"India (2100) - ARIMA (0, 2, 2)",2041,175.0
"India (2100) - ARIMA (0, 2, 2)",2042,175.0
"India (2100) - ARIMA (0, 2, 2)",2043,175.0
"India (2100) - ARIMA (0, 2, 2)",2044,175.0
"India (2100) - ARIMA (0, 2, 2)",2045,175.0
"India (2100) - ARIMA (0, 2, 2)",2046,175.0
"India (2100) - ARIMA (0, 2, 2)",2047,175.0
"India (2100) - ARIMA (0, 2, 2)",2048,175.0
"India (2100) - ARIMA (0, 2, 2)",2049,175.0
"India (2100) - ARIMA (0, 2, 2)",2050,175.0
"India (2100) - ARIMA (0, 2, 2)",2051,175.0
"India (2100) - ARIMA (0, 2, 2)",2052,175.0
"India (2100) - ARIMA (0, 2, 2)",2053,175.0
"India (2100) - ARIMA (0, 2, 2)",2054,175.0
"India (2100) - ARIMA (0, 2, 2)",2055,175.0
"India (2100) - ARIMA (0, 2, 2)",2056,175.0
"India (2100) - ARIMA (0, 2, 2)",2057,175.0
"India (2100) - ARIMA (0, 2, 2)",2058,175.0
"India (2100) - ARIMA (0, 2, 2)",2059,175.0
"India (2100) - ARIMA (0, 2, 2)",2060,175.0
"India (2100) - ARIMA (0, 2, 2)",2061,175.0
"India (2100) - ARIMA (0, 2, 2)",2062,175.0
"India (2100) - ARIMA (0, 2, 2)",2063,175.0
"India (2100) - ARIMA (0, 2, 2)",2064,175.0
"India (2100) - ARIMA (0, 2, 2)",2065,175.0
"India (2100) - ARIMA (0, 2, 2)",2066,175.0
"India (2100) - ARIMA (0, 2, 2)",2067,175.0
"India (2100) - ARIMA (0, 2, 2)",2068,175.0
"India (2100) - ARIMA (0, 2, 2)",2069,175.0
"India (2100) - ARIMA (0, 2, 2)",2070,175.0
"India (2100) - ARIMA (0, 2, 2)",2071,175.0
"India (2100) - ARIMA (0, 2, 2)",2072,175.0
"India (2100) - ARIMA (0, 2, 2)",2073,175.0
"India (2100) - ARIMA (0, 2, 2)",2074,175.0
"India (2100) - ARIMA (0, 2, 2)",2075,175.0
"India (2100) - ARIMA (0, 2, 2)",2076,175.0
"India (2100) - ARIMA (0, 2, 2)",2077,175.0
"India (2100) - ARIMA (0, 2, 2)",2078,175.0
"India (2100) - ARIMA (0, 2, 2)",2079,175.0
"India (2100) - ARIMA (0, 2, 2)",2080,175.0
"India (2100) - ARIMA (0, 2, 2)",2081,175.0
"India (2100) - ARIMA (0, 2, 2)",2082,175.0
"India (2100) - ARIMA (0, 2, 2)",2083,175.0
"India (2100) - ARIMA (0, 2, 2)",2084,175.0
"India (2100) - ARIMA (0, 2, 2)",2085,175.0
"India (2100) - ARIMA (0, 2, 2)",2086,175.0
"India (2100) - ARIMA (0, 2, 2)",2087,175.0
"India (2100) - ARIMA (0, 2, 2)",2088,175.0
"India (2100) - ARIMA (0, 2, 2)",2089,175.0
"India (2100) - ARIMA (0, 2, 2)",2090,175.0
"India (2100) - ARIMA (0, 2, 2)",2091,175.0
"India (2100) - ARIMA (0, 2, 2)",2092,175.0
"India (2100) - ARIMA (0, 2, 2)",2093,175.0
"India (2100) - ARIMA (0, 2, 2)",2094,175.0
"India (2100) - ARIMA (0, 2, 2)",2095,175.0
"India (2100) - ARIMA (0, 2, 2)",2096,175.0
"India (2100) - ARIMA (0, 2, 2)",2097,175.0
"India (2100) - ARIMA (0, 2, 2)",2098,175.0
"India (2100) - ARIMA (0, 2, 2)",2099,175.0
"India (2100) - ARIMA (0, 2, 2)",2100,175.0
"Pakistan (2100) - ARIMA (2, 2, 2)",2023,25.290006660581746
"Pakistan (2100) - ARIMA (2, 2, 2)",2024,30.125546637663533
"Pakistan (2100) - ARIMA (2, 2, 2)",2025,37.330360127712105
"Pakistan (2100) - ARIMA (2, 2, 2)",2026,47.830487461287866
"Pakistan (2100) - ARIMA (2, 2, 2)",2027,58.43234201480605
