Country,Date,nuclear_electricity
"United States (2100) - ARIMA (2, 2, 2)",2023,764.1620256994638
"United States (2100) - ARIMA (2, 2, 2)",2024,816.8693642833657
"United States (2100) - ARIMA (2, 2, 2)",2025,869.6938617105533
"United States (2100) - ARIMA (2, 2, 2)",2026,923.2532656027447
"United States (2100) - ARIMA (2, 2, 2)",2027,976.5287577637989
"United States (2100) - ARIMA (2, 2, 2)",2028,1029.5280450020407
"United States (2100) - ARIMA (2, 2, 2)",2029,1082.7526857967996
"United States (2100) - ARIMA (2, 2, 2)",2030,1136.0446534013356
"United States (2100) - ARIMA (2, 2, 2)",2031,1189.2044555184336
"United States (2100) - ARIMA (2, 2, 2)",2032,1242.3715935178852
"United States (2100) - ARIMA (2, 2, 2)",2033,1295.601847669734
"United States (2100) - ARIMA (2, 2, 2)",2034,1348.8090669445785
"United States (2100) - ARIMA (2, 2, 2)",2035,1401.9921502549482
"United States (2100) - ARIMA (2, 2, 2)",2036,1455.1940481964439
"United States (2100) - ARIMA (2, 2, 2)",2037,1508.4020993166878
"United States (2100) - ARIMA (2, 2, 2)",2038,1561.5989524141119
"United States (2100) - ARIMA (2, 2, 2)",2039,1614.7962050946517
"United States (2100) - ARIMA (2, 2, 2)",2040,1667.998873683619
"United States (2100) - ARIMA (2, 2, 2)",2041,1721.1996793946546
"United States (2100) - ARIMA (2, 2, 2)",2042,1774.398379069134
"United States (2100) - ARIMA (2, 2, 2)",2043,1827.598647706397
"United States (2100) - ARIMA (2, 2, 2)",2044,1880.7994756210492
"United States (2100) - ARIMA (2, 2, 2)",2045,1933.9993555332437
"United States (2100) - ARIMA (2, 2, 2)",2046,1987.199250299005
"United States (2100) - ARIMA (2, 2, 2)",2047,2040.3996093989253
"United States (2100) - ARIMA (2, 2, 2)",2048,2093.599818382575
"United States (2100) - ARIMA (2, 2, 2)",2049,2146.799843853586
"United States (2100) - ARIMA (2, 2, 2)",2050,2200.0
"United States (2100) - ARIMA (2, 2, 2)",2051,2253.2002067365524
"United States (2100) - ARIMA (2, 2, 2)",2052,2306.4003332833936
"United States (2100) - ARIMA (2, 2, 2)",2053,2359.6004594633573
"United States (2100) - ARIMA (2, 2, 2)",2054,2412.80062541958
"United States (2100) - ARIMA (2, 2, 2)",2055,2466.000779327212
"United States (2100) - ARIMA (2, 2, 2)",2056,2519.200917265296
"United States (2100) - ARIMA (2, 2, 2)",2057,2572.4010660730337
"United States (2100) - ARIMA (2, 2, 2)",2058,2625.6012194375276
"United States (2100) - ARIMA (2, 2, 2)",2059,2678.801366024599
"United States (2100) - ARIMA (2, 2, 2)",2060,2732.001512441669
"United States (2100) - ARIMA (2, 2, 2)",2061,2785.20166226326
"United States (2100) - ARIMA (2, 2, 2)",2062,2838.4018111221444
"United States (2100) - ARIMA (2, 2, 2)",2063,2891.601958593089
"United States (2100) - ARIMA (2, 2, 2)",2064,2944.802106966959
"United States (2100) - ARIMA (2, 2, 2)",2065,2998.0022557497086
"United States (2100) - ARIMA (2, 2, 2)",2066,3051.2024039601342
"United States (2100) - ARIMA (2, 2, 2)",2067,3104.402552144293
"United States (2100) - ARIMA (2, 2, 2)",2068,3157.602700619611
"United States (2100) - ARIMA (2, 2, 2)",2069,3210.802849018398
"United States (2100) - ARIMA (2, 2, 2)",2070,3264.002997296703
"United States (2100) - ARIMA (2, 2, 2)",2071,3317.2031456499067
"United States (2100) - ARIMA (2, 2, 2)",2072,3370.4032940396733
"United States (2100) - ARIMA (2, 2, 2)",2073,3423.603442381152
"United States (2100) - ARIMA (2, 2, 2)",2074,3476.803590719393
"United States (2100) - ARIMA (2, 2, 2)",2075,3530.003739082514
"United States (2100) - ARIMA (2, 2, 2)",2076,3583.203887439586
"United States (2100) - ARIMA (2, 2, 2)",2077,3636.4040357862123
"United States (2100) - ARIMA (2, 2, 2)",2078,3689.604184139042
"United States (2100) - ARIMA (2, 2, 2)",2079,3742.804332495131
"United States (2100) - ARIMA (2, 2, 2)",2080,3796.0044808471494
