Country,Date,nuclear_electricity
"Russia (2100) - ARIMA (0, 2, 2)",2023,226.34396043170025
"Russia (2100) - ARIMA (0, 2, 2)",2024,249.00910894145736
"Russia (2100) - ARIMA (0, 2, 2)",2025,271.6742574512145
"Russia (2100) - ARIMA (0, 2, 2)",2026,294.3394059609716
"Russia (2100) - ARIMA (0, 2, 2)",2027,317.0045544707287
"Russia (2100) - ARIMA (0, 2, 2)",2028,339.6697029804858
"Russia (2100) - ARIMA (0, 2, 2)",2029,362.3348514902429
"Russia (2100) - ARIMA (0, 2, 2)",2030,385.0
"Russia (2100) - ARIMA (0, 2, 2)",2031,407.6651485097571
"Russia (2100) - ARIMA (0, 2, 2)",2032,430.3302970195142
"Russia (2100) - ARIMA (0, 2, 2)",2033,452.99544552927136
"Russia (2100) - ARIMA (0, 2, 2)",2034,475.6605940390284
"Russia (2100) - ARIMA (0, 2, 2)",2035,498.32574254878557
"Russia (2100) - ARIMA (0, 2, 2)",2036,520.9908910585427
"Russia (2100) - ARIMA (0, 2, 2)",2037,543.6560395682998
"Russia (2100) - ARIMA (0, 2, 2)",2038,566.3211880780568
"Russia (2100) - ARIMA (0, 2, 2)",2039,588.986336587814
"Russia (2100) - ARIMA (0, 2, 2)",2040,611.6514850975711
"Russia (2100) - ARIMA (0, 2, 2)",2041,634.3166336073282
"Russia (2100) - ARIMA (0, 2, 2)",2042,656.9817821170852
"Russia (2100) - ARIMA (0, 2, 2)",2043,679.6469306268424
"Russia (2100) - ARIMA (0, 2, 2)",2044,702.3120791365996
"Russia (2100) - ARIMA (0, 2, 2)",2045,724.9772276463566
"Russia (2100) - ARIMA (0, 2, 2)",2046,747.6423761561136
"Russia (2100) - ARIMA (0, 2, 2)",2047,770.3075246658709
"Russia (2100) - ARIMA (0, 2, 2)",2048,792.972673175628
"Russia (2100) - ARIMA (0, 2, 2)",2049,815.637821685385
"Russia (2100) - ARIMA (0, 2, 2)",2050,838.302970195142
"Russia (2100) - ARIMA (0, 2, 2)",2051,860.9681187048993
"Russia (2100) - ARIMA (0, 2, 2)",2052,883.6332672146564
"Russia (2100) - ARIMA (0, 2, 2)",2053,906.2984157244134
"Russia (2100) - ARIMA (0, 2, 2)",2054,928.9635642341705
"Russia (2100) - ARIMA (0, 2, 2)",2055,951.6287127439277
"Russia (2100) - ARIMA (0, 2, 2)",2056,974.2938612536848
"Russia (2100) - ARIMA (0, 2, 2)",2057,996.9590097634418
"Russia (2100) - ARIMA (0, 2, 2)",2058,1019.6241582731991
"Russia (2100) - ARIMA (0, 2, 2)",2059,1042.2893067829561
"Russia (2100) - ARIMA (0, 2, 2)",2060,1064.9544552927132
"Russia (2100) - ARIMA (0, 2, 2)",2061,1087.6196038024702
"Russia (2100) - ARIMA (0, 2, 2)",2062,1110.2847523122275
"Russia (2100) - ARIMA (0, 2, 2)",2063,1132.9499008219846
"Russia (2100) - ARIMA (0, 2, 2)",2064,1155.6150493317416
"Russia (2100) - ARIMA (0, 2, 2)",2065,1178.2801978414986
"Russia (2100) - ARIMA (0, 2, 2)",2066,1200.945346351256
"Russia (2100) - ARIMA (0, 2, 2)",2067,1223.610494861013
"Russia (2100) - ARIMA (0, 2, 2)",2068,1246.27564337077
"Russia (2100) - ARIMA (0, 2, 2)",2069,1268.940791880527
"Russia (2100) - ARIMA (0, 2, 2)",2070,1291.6059403902843
"Russia (2100) - ARIMA (0, 2, 2)",2071,1314.2710889000414
"Russia (2100) - ARIMA (0, 2, 2)",2072,1336.9362374097984
"Russia (2100) - ARIMA (0, 2, 2)",2073,1359.6013859195557
"Russia (2100) - ARIMA (0, 2, 2)",2074,1382.2665344293127
"Russia (2100) - ARIMA (0, 2, 2)",2075,1404.9316829390698
"Russia (2100) - ARIMA (0, 2, 2)",2076,1427.5968314488268
"Russia (2100) - ARIMA (0, 2, 2)",2077,1450.2619799585839
"Russia (2100) - ARIMA (0, 2, 2)",2078,1472.9271284683412
"Russia (2100) - ARIMA (0, 2, 2)",2079,1495.5922769780982
"Russia (2100) - ARIMA (0, 2, 2)",2080,1518.2574254878552
"Russia (2100) - ARIMA (0, 2, 2)",2081,1540.9225739976123
"Russia (2100) - ARIMA (0, 2, 2)",2082,1563.5877225073696
"Russia (2100) - ARIMA (0, 2, 2)",2083,1586.2528710171266
"Russia (2100) - ARIMA (0, 2, 2)",2084,1608.9180195268837
"Russia (2100) - ARIMA (0, 2, 2)",2085,1631.5831680366407
"Russia (2100) - ARIMA (0, 2, 2)",2086,1654.248316546398
"Russia (2100) - ARIMA (0, 2, 2)",2087,1676.913465056155
"Russia (2100) - ARIMA (0, 2, 2)",2088,1699.578613565912
"Russia (2100) - ARIMA (0, 2, 2)",2089,1722.2437620756693
"Russia (2100) - ARIMA (0, 2, 2)",2090,1744.9089105854264
"Russia (2100) - ARIMA (0, 2, 2)",2091,1767.5740590951834
"Russia (2100) - ARIMA (0, 2, 2)",2092,1790.2392076049405
"Russia (2100) - ARIMA (0, 2, 2)",2093,1812.9043561146977
"Russia (2100) - ARIMA (0, 2, 2)",2094,1835.5695046244548
"Russia (2100) - ARIMA (0, 2, 2)",2095,1858.2346531342118
"Russia (2100) - ARIMA (0, 2, 2)",2096,1880.8998016439689
"Russia (2100) - ARIMA (0, 2, 2)",2097,1903.5649501537262
"Russia (2100) - ARIMA (0, 2, 2)",2098,1926.2300986634832
"Russia (2100) - ARIMA (0, 2, 2)",2099,1948.8952471732403
"Russia (2100) - ARIMA (0, 2, 2)",2100,1971.5603956829973
