Date,Asia,East Europe,West Europe,North America,South America,Russia,World,,,,,,,,,,
1965,0.03,0,19.69,3.98,0,0,0,,,,,,,,,,
1966,0.58,0,25.81,5.98,0,0,0,,,,,,,,,,
1967,0.63,0,29.88,8.21,0,0,0,,,,,,,,,,
1968,1.04,0,33.82,14.11,0,0,0,,,,,,,,,,
1969,1.81,0,41.12,15.19,0,0,0,,,,,,,,,,
1970,5.89,0,44.57,23.99,0,0,0,,,Continente,2022%,2022,2050%,2050,2100%,2100,
1971,9.03,0,50.88,44.38,0,0,0,,,Asia,29%,759.4036314,61%,8350.937298,71%,24614.03264,
1972,10.6,0,67.52,64.15,0,0,0,,,East Europe,6%,158.28,5%,623.33,3%,1073.804946,
1973,12.04,0.23,74.16,103.12,0,0,0,,,West Europe,23%,594.27,10%,1370.804554,9%,2981.14428,
1974,22.03,1.42,85.97,134.67,1.04,0,0,,,North America,33%,864.18,19%,2644.464,14%,5031.155197,
1975,27.88,2.74,113.92,194.15,2.52,0,0,,,South America,1%,22.01,1%,124.443971,1%,314.5439052,
1976,37.26,5.43,130.68,218.58,2.57,0,0,,,Russia,9%,223.41,4%,500,2%,720.3703704,
1977,34.01,5.99,155.44,290.43,1.64,0,0,,,World (Nuclear),100%,2621.553631,100%,13613.97982,100%,34735.05134,
1978,66.73,5.93,175.61,322.15,2.9,0,0,,,,,,,,,,
1979,82.27,8.33,194.11,303.85,2.69,0,0,,,,,,,,,,
1980,96.8,10.69,225.82,302.36,2.34,0,0,,,,2022%,2022,2050%,2050,2100%,2100,
1981,104.03,14.25,305.2,327.1,2.82,0,0,,,World (Nuclear),9%,2621.553631,29%,13613.97982,44%,34735.05134,
1982,121.65,16.59,333.29,336,1.87,0,0,,,World (All Energies mixed),,28660.98,,46400.78496,,78079.36405,
1983,145.51,21.14,390.7,357.74,3.41,0,0,,,,,,,,,,
1984,175.01,24.99,499.07,397.09,6.28,0,0,,,,,,,,,,
1985,209.96,94.18,597.29,464.41,9.15,99.32,9886.06,,,,,,,,,,
1986,226.17,89.95,644.88,507.1,5.85,105.22,10180.79,,,,,,,,,,
1987,266.68,105.25,659.2,556.49,7.44,124.7,10670.62,,,,,,,,,,
1988,250.92,137.58,704.52,637.58,6.41,134.81,11140.63,,,,,,,,,,
1989,265.7,136.21,745.94,636.91,6.87,136.34,11657.95,,,,,,,,,,
1990,287.15,146.23,748.28,682.62,9.52,118.33,11960.96,,,,,,,,,,
1991,306.66,142.86,774.89,733.39,9.2,119.98,12222.06,,,,,,,,,,
1992,314.83,137.2,787.16,735.28,8.84,119.63,12335.95,,,,,,,,,,
1993,348.88,139.39,821.24,740.62,8.19,119.19,12599.48,,,,,,,,,,
1994,372.45,131.53,820.25,785.47,8.3,97.82,12923.58,,,,,,,,,,
1995,410.29,137.3,838.77,814.44,9.59,99.53,13381.88,,,,,,,,,,
1996,431.37,151.27,879.23,810.24,9.89,109.03,13797.19,,,,,,,,,,
1997,459.76,152.13,890.15,754.15,11.13,108.5,14128.65,,,,,,,,,,
1998,478.48,149.52,884.21,789.42,10.72,103.72,14511.02,,,,,,,,,,
1999,486.07,143.52,896.69,849.56,11.09,121.87,14925.88,,,,,,,,,,
2000,495.87,153.66,895.14,830.86,10.93,122.46,15107.77,,,,,,,,,,
2001,502.89,158.51,923.46,849.98,20.81,125.36,15328.1,,,,,,,,,,
2002,515.33,168.5,926.91,861.07,19.23,134.14,15870.67,,,,,,,,,,
2003,457.27,173.82,930.95,844.86,20.43,141.17,16430.25,,,,,,,,,,
2004,525.4,179.76,942.68,883.13,18.91,137.47,17225.04,,,,,,,,,,
2005,546.33,179.59,930.21,879.14,15.57,137.64,17925.88,,,,,,,,,,
2006,562.78,181.51,926.42,890.06,20.13,144.65,18627.83,,,,,,,,,,
2007,540.77,180.9,874.83,904.56,18.37,147.99,19489.04,,,,,,,,,,
2008,524.46,184.8,869.96,903.87,20.06,152.06,19863.99,,,,,,,,,,
2009,549.14,177.5,827.13,894.09,19.81,152.78,19722.55,,,,,,,,,,
2010,578.54,174.35,857.75,898.16,20.46,159.41,21069.53,,,,,,,,,,
2011,478.54,177.69,846.02,888.15,20.69,162.02,21768.75,,,,,,,,,,
2012,342.26,178.99,818.95,867.23,21.07,166.29,22289.38,,,,,,,,,,
2013,344.34,170.84,815.2,897.98,20.38,161.38,22931.45,,,,,,,,,,
2014,370.39,177.42,814.85,907.68,19.72,169.07,23519.28,,,,,,,,,,
2015,418.24,172.47,795.28,904.41,20.55,182.81,23762.83,,,,,,,,,,
2016,468.72,162.94,778.84,911.65,22.79,184.05,24412.38,,,,,,,,,,
2017,495.79,172.16,763.54,911.09,20.63,190.12,25169.85,,,,,,,,,,
2018,556,172.4,764.51,915.43,21.3,181.76,26174.37,,,,,,,,,,
2019,648.01,172.66,758.28,915.76,23.13,195.54,26515.59,,,,,,,,,,
2020,657.98,166.18,668.17,893.4,23.27,215.74,26446.62,,,,,,,,,,
2021,722.63,182.29,706.75,878.44,24.87,222.44,28002.92,,,,,,,,,,
2022,759.4036314,158.28,594.27,864.18,22.01,223.41,28660.98,,,,,,,,,,
2023,788.2712506,171.9025656,576.5023051,857.6068141,21.4977186,226.3437382,29294.35224,,,,,,,,,,
2024,944.2397933,193.3025565,615.2005979,960.1070697,25.57237246,252.8448973,29927.92383,,,,,,,,,,
2025,1103.946997,214.7593103,653.0009734,1063.451294,29.39400395,279.3460564,30561.49541,,,,,,,,,,
2026,1302.545261,236.2536395,690.8065454,1167.022115,33.19600263,305.8472155,31195.06699,,,,,,,,,,
2027,1501.111288,257.7714658,712.2413466,1267.603438,36.99800132,332.3483746,31828.63857,,,,,,,,,,
2028,1695.523509,279.3038287,733.9315381,1367.908956,40.8,358.8495337,32462.21015,,,,,,,,,,
2029,1887.319054,300.8451664,755.5158945,1468.439662,44.60199868,385.3506928,33095.78174,,,,,,,,,,
2030,2080.883705,322.3920426,777.3474579,1569.037521,48.40399737,411.8518519,33729.35332,,,,,,,,,,
2031,2262.371048,343.9423363,798.704108,1640.921345,52.20599605,416.2592593,34362.9249,,,,,,,,,,
2032,2570.242319,364.2810681,820.783423,1712.805169,56.00799473,420.6666667,34996.49648,,,,,,,,,,
2033,2875.948344,394.3314601,842.3841945,1784.688993,59.80999341,425.0740741,35630.06806,,,,,,,,,,
2034,3179.225271,414.7649924,863.9021626,1856.572817,63.6119921,429.4814815,36263.63965,,,,,,,,,,
2035,3483.006748,435.1985249,887.7642333,1928.456641,67.41399078,433.8888889,36897.21123,,,,,,,,,,
2036,3796.775752,454.8058221,920.0322869,1976.190465,71.21598946,438.2962963,37530.78281,,,,,,,,,,
2037,4124.210676,474.4131193,952.0575891,2023.924288,75.01798815,442.7037037,38164.35439,,,,,,,,,,
2038,4450.245608,494.0204165,984.354012,2071.658113,78.81998683,447.1111111,38797.92597,,,,,,,,,,
2039,4774.023943,513.6277137,1016.640755,2119.391937,82.62198551,451.5185185,39431.49756,,,,,,,,,,
2040,5097.498783,533.2350109,1048.708713,2167.125761,86.4239842,455.9259259,40065.06914,,,,,,,,,,
2041,5422.861567,542.2445098,1080.956121,2214.859584,90.22598288,460.3333333,40698.64072,,,,,,,,,,
2042,5749.848711,551.2540088,1113.245641,2262.593408,94.02798156,464.7407407,41332.2123,,,,,,,,,,
2043,6076.22231,560.2635076,1145.352348,2310.327233,97.82998024,469.1481481,41965.78388,,,,,,,,,,
2044,6400.639883,569.2730065,1177.567086,2358.061057,101.6319789,473.5555556,42599.35546,,,,,,,,,,
2045,6724.24715,578.2825055,1209.849843,2405.79488,105.4339776,477.962963,43232.92705,,,,,,,,,,
2046,7049.114962,587.2920044,1241.989125,2453.528704,109.2359763,482.3703704,43866.49863,,,,,,,,,,
2047,7375.634045,596.3015033,1274.183995,2501.262528,113.037975,486.7777778,44500.07021,,,,,,,,,,
2048,7702.137485,605.3110022,1306.455116,2548.996353,116.8399737,491.1851852,45133.64179,,,,,,,,,,
2049,8027.080724,614.320501,1338.6201,2596.730176,120.6419723,495.5925926,45767.21337,,,,,,,,,,
2050,8350.937298,623.33,1370.804554,2644.464,124.443971,500,46400.78496,,,,,,,,,,
2051,8675.49089,632.339499,1403.062374,2692.197824,128.2459697,504.4074074,47034.35654,,,,,,,,,,
2052,9001.555658,641.3489978,1435.246473,2739.931647,132.0479684,508.8148148,47667.92812,,,,,,,,,,
2053,9328.032217,650.3584968,1467.427059,2787.665472,135.8499671,513.2222222,48301.4997,,,,,,,,,,
2054,9653.38145,659.3679956,1499.67195,2835.399296,139.6519658,517.6296296,48935.07128,,,,,,,,,,
2055,9977.549678,668.3774945,1531.869405,2883.13312,143.4539644,522.037037,49568.64287,,,,,,,,,,
2056,10301.94294,677.3869935,1564.050326,2930.866943,147.2559631,526.4444444,50202.21445,,,,,,,,,,
2057,10627.60258,686.3964924,1596.283802,2978.600767,151.0579618,530.8518519,50835.78603,,,,,,,,,,
2058,10953.94362,695.4059913,1628.489919,3026.334592,154.8599605,535.2592593,51469.35761,,,,,,,,,,
2059,11279.57705,704.4154902,1660.673585,3074.068416,158.6619592,539.6666667,52102.92919,,,,,,,,,,
2060,11604.07275,713.4249892,1692.89768,3121.802239,162.4639579,544.0740741,52736.50077,,,,,,,,,,
2061,11928.43044,722.434488,1725.108852,3169.536063,166.2659565,548.4814815,53370.07236,,,,,,,,,,
2062,12253.75792,731.4439869,1757.296391,3217.269887,170.0679552,552.8888889,54003.64394,,,,,,,,,,
2063,12579.89815,740.4534859,1789.513231,3265.003712,173.8699539,557.2962963,54637.21552,,,,,,,,,,
2064,12905.70154,749.4629847,1821.726853,3312.737535,177.6719526,561.7037037,55270.7871,,,,,,,,,,
2065,13230.50537,758.4724837,1853.918531,3360.471359,181.4739513,566.1111111,55904.35868,,,,,,,,,,
2066,13554.92082,767.4819826,1886.130084,3408.205183,185.27595,570.5185185,56537.93027,,,,,,,,,,
2067,13880.00003,776.4914814,1918.34439,3455.939007,189.0779486,574.9259259,57171.50185,,,,,,,,,,
2068,14205.91113,785.5009804,1950.539946,3503.672831,192.8799473,579.3333333,57805.07343,,,,,,,,,,
2069,14531.7859,794.5104793,1982.747889,3551.406655,196.681946,583.7407407,58438.64501,,,,,,,,,,
2070,14856.85491,803.5199782,2014.961786,3599.140479,200.4839447,588.1481481,59072.21659,,,,,,,,,,
2071,15181.39028,812.529477,2047.160677,3646.874303,204.2859434,592.5555556,59705.78818,,,,,,,,,,
