Country,Date,nuclear_electricity
Asia,1900,
Asia,1901,
Asia,1902,
Asia,1903,
Asia,1904,
Asia,1905,
Asia,1906,
Asia,1907,
Asia,1908,
Asia,1909,
Asia,1910,
Asia,1911,
Asia,1912,
Asia,1913,
Asia,1914,
Asia,1915,
Asia,1916,
Asia,1917,
Asia,1918,
Asia,1919,
Asia,1920,
Asia,1921,
Asia,1922,
Asia,1923,
Asia,1924,
Asia,1925,
Asia,1926,
Asia,1927,
Asia,1928,
Asia,1929,
Asia,1930,
Asia,1931,
Asia,1932,
Asia,1933,
Asia,1934,
Asia,1935,
Asia,1936,
Asia,1937,
Asia,1938,
Asia,1939,
Asia,1940,
Asia,1941,
Asia,1942,
Asia,1943,
Asia,1944,
Asia,1945,
Asia,1946,
Asia,1947,
Asia,1948,
Asia,1949,
Asia,1950,
Asia,1951,
Asia,1952,
Asia,1953,
Asia,1954,
Asia,1955,
Asia,1956,
Asia,1957,
Asia,1958,
Asia,1959,
Asia,1960,
Asia,1961,
Asia,1962,
Asia,1963,
Asia,1964,
Asia,1965,0.03
Asia,1966,0.58
Asia,1967,0.63
Asia,1968,1.04
Asia,1969,1.81
Asia,1970,5.89
Asia,1971,9.03
Asia,1972,10.6
Asia,1973,12.04
Asia,1974,22.03
Asia,1975,27.88
Asia,1976,37.26
Asia,1977,34.01
Asia,1978,66.73
Asia,1979,82.27
Asia,1980,96.8
Asia,1981,104.03
Asia,1982,121.65
Asia,1983,145.51
Asia,1984,175.01
Asia,1985,209.96
Asia,1986,226.17
Asia,1987,266.68
Asia,1988,250.92
Asia,1989,265.7
Asia,1990,287.15
Asia,1991,306.66
Asia,1992,314.83
Asia,1993,348.88
Asia,1994,372.45
Asia,1995,410.29
Asia,1996,431.37
Asia,1997,459.76
Asia,1998,478.48
Asia,1999,486.07
Asia,2000,495.87
Asia,2001,502.89
Asia,2002,515.33
Asia,2003,457.27
Asia,2004,525.4
Asia,2005,546.33
Asia,2006,562.78
Asia,2007,540.77
Asia,2008,524.46
Asia,2009,549.14
Asia,2010,578.54
Asia,2011,478.54
Asia,2012,342.26
Asia,2013,344.34
Asia,2014,370.39
Asia,2015,418.24
Asia,2016,468.72
Asia,2017,495.79
Asia,2018,556
Asia,2019,648.01
Asia,2020,657.98
Asia,2021,722.63
Asia,2022,759.4036314
Asia,2023,788.2712506
Asia,2024,944.2397933
Asia,2025,1103.946997
Asia,2026,1302.545261
Asia,2027,1501.111288
Asia,2028,1695.523509
Asia,2029,1887.319054
Asia,2030,2080.883705
Asia,2031,2262.371048
Asia,2032,2570.242319
Asia,2033,2875.948344
Asia,2034,3179.225271
Asia,2035,3483.006748
Asia,2036,3796.775752
Asia,2037,4124.210676
Asia,2038,4450.245608
Asia,2039,4774.023943
Asia,2040,5097.498783
Asia,2041,5422.861567
Asia,2042,5749.848711
Asia,2043,6076.22231
Asia,2044,6400.639883
Asia,2045,6724.24715
Asia,2046,7049.114962
Asia,2047,7375.634045
Asia,2048,7702.137485
Asia,2049,8027.080724
Asia,2050,8350.937298
Asia,2051,8675.49089
Asia,2052,9001.555658
Asia,2053,9328.032217
Asia,2054,9653.38145
Asia,2055,9977.549678
Asia,2056,10301.94294
Asia,2057,10627.60258
Asia,2058,10953.94362
Asia,2059,11279.57705
Asia,2060,11604.07275
Asia,2061,11928.43044
Asia,2062,12253.75792
Asia,2063,12579.89815
Asia,2064,12905.70154
Asia,2065,13230.50537
Asia,2066,13554.92082
Asia,2067,13880.00003
Asia,2068,14205.91113
Asia,2069,14531.7859
Asia,2070,14856.85491
Asia,2071,15181.39028
Asia,2072,15506.30528
Asia,2073,15831.98823
Asia,2074,16157.85623
Asia,2075,16483.13443
Asia,2076,16807.82355
Asia,2077,17132.65071
Asia,2078,17458.12756
Asia,2079,17783.93274
Asia,2080,18109.35996
Asia,2081,18434.21298
Asia,2082,18759.01587
Asia,2083,19084.32193
Asia,2084,19410.02951
Asia,2085,19735.54814
Asia,2086,20060.5571
Asia,2087,20385.38413
Asia,2088,20710.56096
Asia,2089,21036.15486
Asia,2090,21361.71458
Asia,2091,21686.85909
Asia,2092,22011.74311
Asia,2093,22336.83296
Asia,2094,22662.31214
Asia,2095,22987.87259
Asia,2096,23313.1252
Asia,2097,23638.0847
Asia,2098,23963.12637
Asia,2099,24288.5008
Asia,2100,24614.03264
East Europe,1900,
East Europe,1901,
East Europe,1902,
East Europe,1903,
East Europe,1904,
East Europe,1905,
East Europe,1906,
East Europe,1907,
East Europe,1908,
East Europe,1909,
East Europe,1910,
East Europe,1911,
East Europe,1912,
East Europe,1913,
East Europe,1914,
East Europe,1915,
East Europe,1916,
East Europe,1917,
East Europe,1918,
East Europe,1919,
East Europe,1920,
East Europe,1921,
East Europe,1922,
East Europe,1923,
East Europe,1924,
East Europe,1925,
East Europe,1926,
East Europe,1927,
East Europe,1928,
East Europe,1929,
East Europe,1930,
East Europe,1931,
East Europe,1932,
East Europe,1933,
East Europe,1934,
East Europe,1935,
East Europe,1936,
East Europe,1937,
East Europe,1938,
East Europe,1939,
East Europe,1940,
East Europe,1941,
East Europe,1942,
East Europe,1943,
East Europe,1944,
East Europe,1945,
East Europe,1946,
East Europe,1947,
East Europe,1948,
East Europe,1949,
East Europe,1950,
East Europe,1951,
East Europe,1952,
East Europe,1953,
East Europe,1954,
East Europe,1955,
East Europe,1956,
East Europe,1957,
East Europe,1958,
East Europe,1959,
East Europe,1960,
East Europe,1961,
East Europe,1962,
East Europe,1963,
East Europe,1964,
East Europe,1965,0
East Europe,1966,0
East Europe,1967,0
East Europe,1968,0
East Europe,1969,0
East Europe,1970,0
East Europe,1971,0
East Europe,1972,0
East Europe,1973,0.23
East Europe,1974,1.42
East Europe,1975,2.74
East Europe,1976,5.43
East Europe,1977,5.99
East Europe,1978,5.93
East Europe,1979,8.33
East Europe,1980,10.69
East Europe,1981,14.25
East Europe,1982,16.59
East Europe,1983,21.14
East Europe,1984,24.99
East Europe,1985,94.18
East Europe,1986,89.95
East Europe,1987,105.25
East Europe,1988,137.58
East Europe,1989,136.21
East Europe,1990,146.23
East Europe,1991,142.86
East Europe,1992,137.2
East Europe,1993,139.39
East Europe,1994,131.53
East Europe,1995,137.3
East Europe,1996,151.27
East Europe,1997,152.13
East Europe,1998,149.52
East Europe,1999,143.52
East Europe,2000,153.66
East Europe,2001,158.51
East Europe,2002,168.5
East Europe,2003,173.82
East Europe,2004,179.76
East Europe,2005,179.59
East Europe,2006,181.51
East Europe,2007,180.9
East Europe,2008,184.8
East Europe,2009,177.5
East Europe,2010,174.35
East Europe,2011,177.69
East Europe,2012,178.99
East Europe,2013,170.84
East Europe,2014,177.42
East Europe,2015,172.47
East Europe,2016,162.94
East Europe,2017,172.16
East Europe,2018,172.4
East Europe,2019,172.66
East Europe,2020,166.18
East Europe,2021,182.29
East Europe,2022,158.28
East Europe,2023,171.9025656
East Europe,2024,193.3025565
East Europe,2025,214.7593103
East Europe,2026,236.2536395
East Europe,2027,257.7714658
East Europe,2028,279.3038287
East Europe,2029,300.8451664
East Europe,2030,322.3920426
East Europe,2031,343.9423363
East Europe,2032,364.2810681
East Europe,2033,394.3314601
East Europe,2034,414.7649924
East Europe,2035,435.1985249
East Europe,2036,454.8058221
East Europe,2037,474.4131193
East Europe,2038,494.0204165
East Europe,2039,513.6277137
East Europe,2040,533.2350109
East Europe,2041,542.2445098
East Europe,2042,551.2540088
East Europe,2043,560.2635076
East Europe,2044,569.2730065
East Europe,2045,578.2825055
East Europe,2046,587.2920044
East Europe,2047,596.3015033
East Europe,2048,605.3110022
East Europe,2049,614.320501
East Europe,2050,623.33
East Europe,2051,632.339499
East Europe,2052,641.3489978
East Europe,2053,650.3584968
East Europe,2054,659.3679956
East Europe,2055,668.3774945
East Europe,2056,677.3869935
East Europe,2057,686.3964924
East Europe,2058,695.4059913
East Europe,2059,704.4154902
East Europe,2060,713.4249892
East Europe,2061,722.434488
East Europe,2062,731.4439869
East Europe,2063,740.4534859
East Europe,2064,749.4629847
East Europe,2065,758.4724837
East Europe,2066,767.4819826
East Europe,2067,776.4914814
East Europe,2068,785.5009804
East Europe,2069,794.5104793
East Europe,2070,803.5199782
East Europe,2071,812.529477
East Europe,2072,821.5389761
East Europe,2073,830.548475
East Europe,2074,839.5579738
East Europe,2075,848.5674728
East Europe,2076,857.5769716
East Europe,2077,866.5864706
East Europe,2078,875.5959695
East Europe,2079,884.6054684
East Europe,2080,893.6149674
East Europe,2081,902.6244662
East Europe,2082,911.6339651
East Europe,2083,920.6434641
East Europe,2084,929.652963
East Europe,2085,938.6624619
East Europe,2086,947.6719607
East Europe,2087,956.6814598
East Europe,2088,965.6909586
East Europe,2089,974.7004575
East Europe,2090,983.7099565
East Europe,2091,992.7194553
East Europe,2092,1001.728954
East Europe,2093,1010.738453
East Europe,2094,1019.747952
East Europe,2095,1028.757451
East Europe,2096,1037.76695
East Europe,2097,1046.776449
East Europe,2098,1055.785948
East Europe,2099,1064.795447
East Europe,2100,1073.804946
West Europe,1900,
West Europe,1901,
West Europe,1902,
West Europe,1903,
West Europe,1904,
West Europe,1905,
West Europe,1906,
West Europe,1907,
West Europe,1908,
West Europe,1909,
West Europe,1910,
West Europe,1911,
West Europe,1912,
West Europe,1913,
West Europe,1914,
West Europe,1915,
West Europe,1916,
West Europe,1917,
West Europe,1918,
West Europe,1919,
West Europe,1920,
West Europe,1921,
West Europe,1922,
West Europe,1923,
West Europe,1924,
West Europe,1925,
West Europe,1926,
West Europe,1927,
West Europe,1928,
West Europe,1929,
West Europe,1930,
West Europe,1931,
West Europe,1932,
West Europe,1933,
West Europe,1934,
West Europe,1935,
West Europe,1936,
West Europe,1937,
West Europe,1938,
West Europe,1939,
West Europe,1940,
West Europe,1941,
West Europe,1942,
West Europe,1943,
West Europe,1944,
West Europe,1945,
West Europe,1946,
West Europe,1947,
West Europe,1948,
West Europe,1949,
West Europe,1950,
West Europe,1951,
West Europe,1952,
West Europe,1953,
West Europe,1954,
West Europe,1955,
West Europe,1956,
West Europe,1957,
West Europe,1958,
West Europe,1959,
West Europe,1960,
West Europe,1961,
West Europe,1962,
West Europe,1963,
West Europe,1964,
West Europe,1965,19.69
West Europe,1966,25.81
West Europe,1967,29.88
West Europe,1968,33.82
West Europe,1969,41.12
West Europe,1970,44.57
West Europe,1971,50.88
West Europe,1972,67.52
West Europe,1973,74.16
West Europe,1974,85.97
West Europe,1975,113.92
West Europe,1976,130.68
West Europe,1977,155.44
West Europe,1978,175.61
West Europe,1979,194.11
West Europe,1980,225.82
West Europe,1981,305.2
West Europe,1982,333.29
West Europe,1983,390.7
West Europe,1984,499.07
West Europe,1985,597.29
West Europe,1986,644.88
West Europe,1987,659.2
West Europe,1988,704.52
West Europe,1989,745.94
West Europe,1990,748.28
West Europe,1991,774.89
West Europe,1992,787.16
West Europe,1993,821.24
West Europe,1994,820.25
West Europe,1995,838.77
West Europe,1996,879.23
West Europe,1997,890.15
West Europe,1998,884.21
West Europe,1999,896.69
West Europe,2000,895.14
West Europe,2001,923.46
West Europe,2002,926.91
West Europe,2003,930.95
West Europe,2004,942.68
West Europe,2005,930.21
West Europe,2006,926.42
West Europe,2007,874.83
West Europe,2008,869.96
West Europe,2009,827.13
West Europe,2010,857.75
West Europe,2011,846.02
West Europe,2012,818.95
West Europe,2013,815.2
West Europe,2014,814.85
West Europe,2015,795.28
West Europe,2016,778.84
West Europe,2017,763.54
West Europe,2018,764.51
West Europe,2019,758.28
West Europe,2020,668.17
West Europe,2021,706.75
West Europe,2022,594.27
West Europe,2023,576.5023051
West Europe,2024,615.2005979
West Europe,2025,653.0009734
West Europe,2026,690.8065454
West Europe,2027,712.2413466
West Europe,2028,733.9315381
West Europe,2029,755.5158945
West Europe,2030,777.3474579
West Europe,2031,798.704108
West Europe,2032,820.783423
West Europe,2033,842.3841945
West Europe,2034,863.9021626
West Europe,2035,887.7642333
West Europe,2036,920.0322869
West Europe,2037,952.0575891
West Europe,2038,984.354012
West Europe,2039,1016.640755
West Europe,2040,1048.708713
West Europe,2041,1080.956121
West Europe,2042,1113.245641
West Europe,2043,1145.352348
West Europe,2044,1177.567086
West Europe,2045,1209.849843
West Europe,2046,1241.989125
West Europe,2047,1274.183995
West Europe,2048,1306.455116
West Europe,2049,1338.6201
West Europe,2050,1370.804554
West Europe,2051,1403.062374
West Europe,2052,1435.246473
West Europe,2053,1467.427059
West Europe,2054,1499.67195
West Europe,2055,1531.869405
West Europe,2056,1564.050326
West Europe,2057,1596.283802
West Europe,2058,1628.489919
West Europe,2059,1660.673585
West Europe,2060,1692.89768
West Europe,2061,1725.108852
West Europe,2062,1757.296391
West Europe,2063,1789.513231
West Europe,2064,1821.726853
West Europe,2065,1853.918531
West Europe,2066,1886.130084
West Europe,2067,1918.34439
West Europe,2068,1950.539946
West Europe,2069,1982.747889
West Europe,2070,2014.961786
West Europe,2071,2047.160677
West Europe,2072,2079.366351
West Europe,2073,2111.579241
West Europe,2074,2143.780814
West Europe,2075,2175.985227
West Europe,2076,2208.196864
West Europe,2077,2240.400473
West Europe,2078,2272.604338
West Europe,2079,2304.814706
West Europe,2080,2337.019766
West Europe,2081,2369.223553
West Europe,2082,2401.432769
West Europe,2083,2433.638796
West Europe,2084,2465.842789
West Europe,2085,2498.051037
West Europe,2086,2530.257651
West Europe,2087,2562.461992
West Europe,2088,2594.669477
West Europe,2089,2626.876397
West Europe,2090,2659.081134
West Europe,2091,2691.288054
West Europe,2092,2723.495086
West Europe,2093,2755.700209
West Europe,2094,2787.906732
West Europe,2095,2820.113753
West Europe,2096,2852.319215
West Europe,2097,2884.525483
West Europe,2098,2916.732421
West Europe,2099,2948.938161
West Europe,2100,2981.14428
North America,1900,
North America,1901,
North America,1902,
North America,1903,
North America,1904,
North America,1905,
North America,1906,
North America,1907,
North America,1908,
North America,1909,
North America,1910,
North America,1911,
North America,1912,
North America,1913,
North America,1914,
North America,1915,
North America,1916,
North America,1917,
North America,1918,
North America,1919,
North America,1920,
North America,1921,
North America,1922,
North America,1923,
North America,1924,
North America,1925,
North America,1926,
North America,1927,
North America,1928,
North America,1929,
North America,1930,
North America,1931,
North America,1932,
North America,1933,
North America,1934,
North America,1935,
North America,1936,
North America,1937,
North America,1938,
North America,1939,
North America,1940,
North America,1941,
North America,1942,
North America,1943,
North America,1944,
North America,1945,
North America,1946,
North America,1947,
North America,1948,
North America,1949,
North America,1950,
North America,1951,
North America,1952,
North America,1953,
North America,1954,
North America,1955,
North America,1956,
North America,1957,
North America,1958,
North America,1959,
North America,1960,
North America,1961,
North America,1962,
North America,1963,
North America,1964,
North America,1965,3.98
North America,1966,5.98
North America,1967,8.21
North America,1968,14.11
North America,1969,15.19
North America,1970,23.99
North America,1971,44.38
North America,1972,64.15
North America,1973,103.12
North America,1974,134.67
North America,1975,194.15
North America,1976,218.58
North America,1977,290.43
North America,1978,322.15
North America,1979,303.85
North America,1980,302.36
North America,1981,327.1
North America,1982,336
North America,1983,357.74
North America,1984,397.09
North America,1985,464.41
North America,1986,507.1
North America,1987,556.49
North America,1988,637.58
North America,1989,636.91
North America,1990,682.62
North America,1991,733.39
North America,1992,735.28
North America,1993,740.62
North America,1994,785.47
North America,1995,814.44
North America,1996,810.24
North America,1997,754.15
North America,1998,789.42
North America,1999,849.56
North America,2000,830.86
North America,2001,849.98
North America,2002,861.07
North America,2003,844.86
North America,2004,883.13
North America,2005,879.14
North America,2006,890.06
North America,2007,904.56
North America,2008,903.87
North America,2009,894.09
North America,2010,898.16
North America,2011,888.15
North America,2012,867.23
North America,2013,897.98
North America,2014,907.68
North America,2015,904.41
North America,2016,911.65
North America,2017,911.09
North America,2018,915.43
North America,2019,915.76
North America,2020,893.4
North America,2021,878.44
North America,2022,864.18
North America,2023,857.6068141
North America,2024,960.1070697
North America,2025,1063.451294
North America,2026,1167.022115
North America,2027,1267.603438
North America,2028,1367.908956
North America,2029,1468.439662
North America,2030,1569.037521
North America,2031,1640.921345
North America,2032,1712.805169
North America,2033,1784.688993
North America,2034,1856.572817
North America,2035,1928.456641
North America,2036,1976.190465
North America,2037,2023.924288
North America,2038,2071.658113
North America,2039,2119.391937
North America,2040,2167.125761
North America,2041,2214.859584
North America,2042,2262.593408
North America,2043,2310.327233
North America,2044,2358.061057
North America,2045,2405.79488
North America,2046,2453.528704
North America,2047,2501.262528
North America,2048,2548.996353
North America,2049,2596.730176
North America,2050,2644.464
North America,2051,2692.197824
North America,2052,2739.931647
North America,2053,2787.665472
North America,2054,2835.399296
North America,2055,2883.13312
North America,2056,2930.866943
North America,2057,2978.600767
North America,2058,3026.334592
North America,2059,3074.068416
North America,2060,3121.802239
North America,2061,3169.536063
North America,2062,3217.269887
North America,2063,3265.003712
North America,2064,3312.737535
North America,2065,3360.471359
North America,2066,3408.205183
North America,2067,3455.939007
North America,2068,3503.672831
North America,2069,3551.406655
North America,2070,3599.140479
North America,2071,3646.874303
North America,2072,3694.608126
North America,2073,3742.34195
North America,2074,3790.075775
North America,2075,3837.809599
North America,2076,3885.543422
North America,2077,3933.277246
North America,2078,3981.01107
North America,2079,4028.744894
North America,2080,4076.478718
North America,2081,4124.212542
North America,2082,4171.946366
North America,2083,4219.68019
North America,2084,4267.414014
North America,2085,4315.147838
North America,2086,4362.881662
North America,2087,4410.615485
North America,2088,4458.349309
North America,2089,4506.083134
North America,2090,4553.816958
North America,2091,4601.550781
North America,2092,4649.284605
North America,2093,4697.01843
North America,2094,4744.752254
North America,2095,4792.486077
North America,2096,4840.219901
North America,2097,4887.953725
North America,2098,4935.68755
North America,2099,4983.421373
North America,2100,5031.155197
South America,1900,
South America,1901,
South America,1902,
South America,1903,
South America,1904,
South America,1905,
South America,1906,
South America,1907,
