Date,Variable,Asia,East Europe,West Europe,Russia,North America,South America
1985,nuclear_electricity,209.96,94.18,597.29,99.32,464.41,9.15
1986,nuclear_electricity,226.17,89.95,644.88,105.22,507.1,5.85
1987,nuclear_electricity,266.68,105.25,659.2,124.7,556.49,7.44
1988,nuclear_electricity,250.92,137.58,704.52,134.81,637.58,6.41
1989,nuclear_electricity,265.7,136.21,745.94,136.34,636.91,6.87
1990,nuclear_electricity,287.15,146.23,748.28,118.33,682.62,9.52
1991,nuclear_electricity,306.66,142.86,774.89,119.98,733.39,9.2
1992,nuclear_electricity,314.83,137.2,787.16,119.63,735.28,8.84
1993,nuclear_electricity,348.88,139.39,821.24,119.19,740.62,8.19
1994,nuclear_electricity,372.45,131.53,820.25,97.82,785.47,8.3
1995,nuclear_electricity,410.29,137.3,838.77,99.53,814.44,9.59
1996,nuclear_electricity,431.37,151.27,879.23,109.03,810.24,9.89
1997,nuclear_electricity,459.76,152.13,890.15,108.5,754.15,11.13
1998,nuclear_electricity,478.48,149.52,884.21,103.72,789.42,10.72
1999,nuclear_electricity,486.07,143.52,896.69,121.87,849.56,11.09
2000,nuclear_electricity,495.87,153.66,895.14,122.46,830.86,10.93
2001,nuclear_electricity,502.89,158.51,923.46,125.36,849.98,20.81
2002,nuclear_electricity,515.33,168.5,926.91,134.14,861.07,19.23
2003,nuclear_electricity,457.27,173.82,930.95,141.17,844.86,20.43
2004,nuclear_electricity,525.4,179.76,942.68,137.47,883.13,18.91
2005,nuclear_electricity,546.33,179.59,930.21,137.64,879.14,15.57
2006,nuclear_electricity,562.78,181.51,926.42,144.65,890.06,20.13
2007,nuclear_electricity,540.77,180.9,874.83,147.99,904.56,18.37
2008,nuclear_electricity,524.46,184.8,869.96,152.06,903.87,20.06
2009,nuclear_electricity,549.14,177.5,827.13,152.78,894.09,19.81
2010,nuclear_electricity,578.54,174.35,857.75,159.41,898.16,20.46
2011,nuclear_electricity,478.54,177.69,846.02,162.02,888.15,20.69
2012,nuclear_electricity,342.26,178.99,818.95,166.29,867.23,21.07
2013,nuclear_electricity,344.34,170.84,815.2,161.38,897.98,20.38
2014,nuclear_electricity,370.39,177.42,814.85,169.07,907.68,19.72
2015,nuclear_electricity,418.24,172.47,795.28,182.81,904.41,20.55
2016,nuclear_electricity,468.72,162.94,778.84,184.05,911.65,22.79
2017,nuclear_electricity,495.79,172.16,763.54,190.12,911.09,20.63
2018,nuclear_electricity,556,172.4,764.51,181.76,915.43,21.3
2019,nuclear_electricity,648.01,172.66,758.28,195.54,915.76,23.13
2020,nuclear_electricity,657.98,166.18,668.17,215.74,893.4,23.27
2021,nuclear_electricity,722.63,182.29,706.75,222.44,878.44,24.87
2022,nuclear_electricity,759.4036314,158.28,594.27,223.41,864.18,22.01
2023,nuclear_electricity,787.9383933,171.9025656,561.6212378,226.3437382,857.6068141,21.4977186
2024,nuclear_electricity,936.3101985,183.2427908,589.3328409,252.8448973,925.4150925,25.57237246
2025,nuclear_electricity,1089.183493,194.6397788,616.0344058,279.3460564,993.9502171,29.39400395
2026,nuclear_electricity,1281.955358,206.0743422,645.5046403,305.8472155,1061.977903,33.19600263
2027,nuclear_electricity,1474.47484,217.5324027,673.7169492,332.3483746,1127.299823,36.99800132
2028,nuclear_electricity,1661.814408,229.0049999,702.2747447,358.8495337,1192.621744,40.8
2029,nuclear_electricity,1846.222796,240.4865718,730.0953069,385.3506928,1257.943665,44.60199868
2030,nuclear_electricity,2033.10644,251.9736822,758.5824063,411.8518519,1323.265586,48.40399737
2031,nuclear_electricity,2222.349787,263.4642101,786.7933173,416.2592593,1388.587506,52.20599605
2032,nuclear_electricity,2537.85314,274.9568469,815.2211271,420.6666667,1453.909427,56.00799473
2033,nuclear_electricity,2854.971889,286.4507849,843.4006229,425.0740741,1519.231348,59.80999341
2034,nuclear_electricity,3169.599879,299.8778789,871.7392626,429.4814815,1584.553268,63.6119921
2035,nuclear_electricity,3485.161079,313.3054683,902.04027,433.8888889,1649.875189,67.41399078
2036,nuclear_electricity,3810.954508,326.7333635,940.844252,438.2962963,1715.19711,71.21598946
2037,nuclear_electricity,4137.899428,340.1614473,979.648234,442.7037037,1780.519031,75.01798815
2038,nuclear_electricity,4463.166105,353.5896476,1018.452216,447.1111111,1845.840951,78.81998683
2039,nuclear_electricity,4786.204017,367.0179196,1057.256198,451.5185185,1911.162872,82.62198551
2040,nuclear_electricity,5109.156124,380.446236,1096.06018,455.9259259,1976.484793,86.4239842
2041,nuclear_electricity,5434.07468,393.8745798,1134.864162,460.3333333,2041.806714,90.22598288
2042,nuclear_electricity,5760.494198,407.3029404,1173.668144,464.7407407,2107.128634,94.02798156
2043,nuclear_electricity,6086.187209,420.7313114,1212.472126,469.1481481,2172.450555,97.82998024
2044,nuclear_electricity,6409.96269,434.1596889,1251.276108,473.5555556,2237.772476,101.6319789
2045,nuclear_electricity,6733.026935,447.5880703,1290.08009,477.962963,2303.094396,105.4339776
2046,nuclear_electricity,7057.368551,461.0164542,1328.884072,482.3703704,2368.416317,109.2359763
2047,nuclear_electricity,7383.297684,474.4448396,1367.688054,486.7777778,2433.738238,113.037975
2048,nuclear_electricity,7709.170452,487.8732259,1406.492036,491.1851852,2499.060159,116.8399737
2049,nuclear_electricity,8033.510477,501.3016128,1445.296018,495.5925926,2564.382079,120.6419723
2050,nuclear_electricity,8356.805298,514.73,1484.1,500,2629.704,124.443971
2051,nuclear_electricity,8629.772781,514.73,1484.1,504.4074074,2631.456,128.2459697
2052,nuclear_electricity,8904.253159,514.73,1484.1,508.8148148,2633.208,132.0479684
2053,nuclear_electricity,9179.146384,514.73,1484.1,513.2222222,2634.96,135.8499671
2054,nuclear_electricity,9452.911711,514.73,1484.1,517.6296296,2636.712,139.6519658
2055,nuclear_electricity,9725.495175,514.73,1484.1,522.037037,2638.464,143.4539644
2056,nuclear_electricity,9998.303649,514.73,1484.1,526.4444444,2640.216,147.2559631
2057,nuclear_electricity,10272.37901,514.73,1484.1,530.8518519,2641.968,151.0579618
2058,nuclear_electricity,10547.13598,514.73,1484.1,535.2592593,2643.72,154.8599605
2059,nuclear_electricity,10821.18513,514.73,1484.1,539.6666667,2645.472,158.6619592
2060,nuclear_electricity,11094.09635,514.73,1484.1,544.0740741,2647.224,162.4639579
2061,nuclear_electricity,11366.86958,514.73,1484.1,548.4814815,2648.976,166.2659565
2062,nuclear_electricity,11640.61275,514.73,1484.1,552.8888889,2650.728,170.0679552
2063,nuclear_electricity,11915.1687,514.73,1484.1,557.2962963,2652.48,173.8699539
2064,nuclear_electricity,12189.38775,514.73,1484.1,561.7037037,2654.232,177.6719526
2065,nuclear_electricity,12462.60719,514.73,1484.1,566.1111111,2655.984,181.4739513
2066,nuclear_electricity,12735.43826,514.73,1484.1,570.5185185,2657.736,185.27595
2067,nuclear_electricity,13008.93313,514.73,1484.1,574.9259259,2659.488,189.0779486
2068,nuclear_electricity,13283.25991,514.73,1484.1,579.3333333,2661.24,192.8799473
2069,nuclear_electricity,13557.55032,514.73,1484.1,583.7407407,2662.992,196.681946
2070,nuclear_electricity,13831.03497,514.73,1484.1,588.1481481,2664.744,200.4839447
2071,nuclear_electricity,14103.98598,514.73,1484.1,592.5555556,2666.496,204.2859434
2072,nuclear_electricity,14377.31664,514.73,1484.1,596.962963,2668.248,208.0879421
2073,nuclear_electricity,14651.41524,514.73,1484.1,601.3703704,2670,211.8899407
2074,nuclear_electricity,14925.69888,514.73,1484.1,605.7777778,2671.752,215.6919394
2075,nuclear_electricity,15199.39274,514.73,1484.1,610.1851852,2673.504,219.4939381
2076,nuclear_electricity,15472.4975,514.73,1484.1,614.5925926,2675.256,223.2959368
2077,nuclear_electricity,15745.74031,514.73,1484.1,619,2677.008,227.0979355
2078,nuclear_electricity,16019.63281,514.73,1484.1,623.4074074,2678.76,230.8999341
2079,nuclear_electricity,16293.85364,514.73,1484.1,627.8148148,2680.512,234.7019328
2080,nuclear_electricity,16567.6965,514.73,1484.1,632.2222222,2682.264,238.5039315
2081,nuclear_electricity,16840.96517,514.73,1484.1,636.6296296,2684.016,242.3059302
2082,nuclear_electricity,17114.18372,514.73,1484.1,641.037037,2685.768,246.1079289
2083,nuclear_electricity,17387.90542,514.73,1484.1,645.4444444,2687.52,249.9099276
2084,nuclear_electricity,17662.02865,514.73,1484.1,649.8518519,2689.272,253.7119262
2085,nuclear_electricity,17935.96293,514.73,1484.1,654.2592593,2691.024,257.5139249
2086,nuclear_electricity,18209.38753,514.73,1484.1,658.6666667,2692.776,261.3159236
2087,nuclear_electricity,18482.63022,514.73,1484.1,663.0740741,2694.528,265.1179223
2088,nuclear_electricity,18756.2227,514.73,1484.1,667.4814815,2696.28,268.919921
2089,nuclear_electricity,19030.23224,514.73,1484.1,671.8888889,2698.032,272.7219197
2090,nuclear_electricity,19304.20761,514.73,1484.1,676.2962963,2699.784,276.5239183
2091,nuclear_electricity,19577.76777,514.73,1484.1,680.7037037,2701.536,280.325917
2092,nuclear_electricity,19851.06744,514.73,1484.1,685.1111111,2703.288,284.1279157
2093,nuclear_electricity,20124.57294,514.73,1484.1,689.5185185,2705.04,287.9299144
2094,nuclear_electricity,20398.46777,514.73,1484.1,693.9259259,2706.792,291.7319131
2095,nuclear_electricity,20672.44386,514.73,1484.1,698.3333333,2708.544,295.5339118
2096,nuclear_electricity,20946.11213,514.73,1484.1,702.7407407,2710.296,299.3359104
2097,nuclear_electricity,21219.48727,514.73,1484.1,707.1481481,2712.048,303.1379091
2098,nuclear_electricity,21492.94459,514.73,1484.1,711.5555556,2713.8,306.9399078
2099,nuclear_electricity,21766.73467,514.73,1484.1,715.962963,2715.552,310.7419065
2100,nuclear_electricity,22040.68216,514.73,1484.1,720.3703704,2717.304,314.5439052
