Date,Variable,World Nuclear Electricity - Scenario 1,World Nuclear Electricity - Scenario 2,World Electricity Demand,,,,,,,,,,
1985,nuclear_electricity,1474.31,1474.31,9886.06,,,,,,,,,,
1986,nuclear_electricity,1579.17,1579.17,10180.79,,,,,,,,,,
1987,nuclear_electricity,1719.76,1719.76,10670.62,,,,,,,,,,
1988,nuclear_electricity,1871.82,1871.82,11140.63,,,,,,,,,,
1989,nuclear_electricity,1927.97,1927.97,11657.95,,,,2022%,2022,2050%,2050,2100%,2100,
1990,nuclear_electricity,1992.13,1992.13,11960.96,,,World Nuclear Electricity - Scenario 1,9%,2621.553631,29%,13613.97982,44%,34735.05134,
1991,nuclear_electricity,2086.98,2086.98,12222.06,,,World Nuclear Electricity - Scenario 2,9%,2621.553631,29%,13613.97982,36%,27791.73044,
1992,nuclear_electricity,2102.94,2102.94,12335.95,,,World Electricity Demand,100%,28660.98,100%,46400.78496,100%,78079.36405,
1993,nuclear_electricity,2177.51,2177.51,12599.48,,,,,,,,,,
1994,nuclear_electricity,2215.82,2215.82,12923.58,,,,,,,,,,
1995,nuclear_electricity,2309.92,2309.92,13381.88,,,,,,,,,,
1996,nuclear_electricity,2391.03,2391.03,13797.19,,,,,,,,,,
1997,nuclear_electricity,2375.82,2375.82,14128.65,,,,,,,,,,
1998,nuclear_electricity,2416.07,2416.07,14511.02,,,,,,,,,,
1999,nuclear_electricity,2508.8,2508.8,14925.88,,,,,,,,,,
2000,nuclear_electricity,2508.92,2508.92,15107.77,,,,,,,,,,
2001,nuclear_electricity,2581.01,2581.01,15328.1,,,,,,,,,,
2002,nuclear_electricity,2625.18,2625.18,15870.67,,,,,,,,,,
2003,nuclear_electricity,2568.5,2568.5,16430.25,,,,,,,,,,
2004,nuclear_electricity,2687.35,2687.35,17225.04,,,,,,,,,,
2005,nuclear_electricity,2688.48,2688.48,17925.88,,,,,,,,,,
2006,nuclear_electricity,2725.55,2725.55,18627.83,,,,,,,,,,
2007,nuclear_electricity,2667.42,2667.42,19489.04,,,,,,,,,,
2008,nuclear_electricity,2655.21,2655.21,19863.99,,,,,,,,,,
2009,nuclear_electricity,2620.45,2620.45,19722.55,,,,,,,,,,
2010,nuclear_electricity,2688.67,2688.67,21069.53,,,,,,,,,,
2011,nuclear_electricity,2573.11,2573.11,21768.75,,,,,,,,,,
2012,nuclear_electricity,2394.79,2394.79,22289.38,,,,,,,,,,
2013,nuclear_electricity,2410.12,2410.12,22931.45,,,,,,,,,,
2014,nuclear_electricity,2459.13,2459.13,23519.28,,,,,,,,,,
2015,nuclear_electricity,2493.76,2493.76,23762.83,,,,,,,,,,
2016,nuclear_electricity,2528.99,2528.99,24412.38,,,,,,,,,,
2017,nuclear_electricity,2553.33,2553.33,25169.85,,,,,,,,,,
2018,nuclear_electricity,2611.4,2611.4,26174.37,,,,,,,,,,
2019,nuclear_electricity,2713.38,2713.38,26515.59,,,,,,,,,,
2020,nuclear_electricity,2624.74,2624.74,26446.62,,,,,,,,,,
2021,nuclear_electricity,2737.42,2737.42,28002.92,,,,,,,,,,
2022,nuclear_electricity,2621.553631,2621.553631,28660.98,,,,,,,,,,
2023,nuclear_electricity,2642.124392,2626.910468,29294.35224,,,,,,,,,,
2024,nuclear_electricity,2991.267287,2912.718192,29927.92383,,,,,,,,,,
2025,nuclear_electricity,3343.898635,3202.547955,30561.49541,,,,,,,,,,
2026,nuclear_electricity,3735.670779,3534.555462,31195.06699,,,,,,,,,,
2027,nuclear_electricity,4108.073914,3862.370391,31828.63857,,,,,,,,,,
2028,nuclear_electricity,4476.317366,4185.36543,32462.21015,,,,,,,,,,
2029,nuclear_electricity,4842.072468,4504.701031,33095.78174,,,,,,,,,,
2030,nuclear_electricity,5209.916576,4827.183964,33729.35332,,,,,,,,,,
2031,nuclear_electricity,5514.404093,5129.660076,34362.9249,,,,,,,,,,
2032,nuclear_electricity,5944.786641,5558.615202,34996.49648,,,,,,,,,,
2033,nuclear_electricity,6382.237059,5988.938712,35630.06806,,,,,,,,,,
2034,nuclear_electricity,6807.558717,6418.863762,36263.63965,,,,,,,,,,
2035,nuclear_electricity,7235.729027,6851.684886,36897.21123,,,,,,,,,,
2036,nuclear_electricity,7657.316612,7303.241519,37530.78281,,,,,,,,,,
2037,nuclear_electricity,8092.327364,7755.949832,38164.35439,,,,,,,,,,
2038,nuclear_electricity,8526.209247,8206.980018,38797.92597,,,,,,,,,,
2039,nuclear_electricity,8957.824853,8655.781511,39431.49756,,,,,,,,,,
2040,nuclear_electricity,9388.918178,9104.497243,40065.06914,,,,,,,,,,
2041,nuclear_electricity,9811.481098,9555.179452,40698.64072,,,,,,,,,,
2042,nuclear_electricity,10235.71049,10007.36264,41332.2123,,,,,,,,,,
2043,nuclear_electricity,10659.14353,10458.81933,41965.78388,,,,,,,,,,
2044,nuclear_electricity,11080.72857,10908.3585,42599.35546,,,,,,,,,,
2045,nuclear_electricity,11501.57132,11357.18643,43232.92705,,,,,,,,,,
2046,nuclear_electricity,11923.53114,11807.29174,43866.49863,,,,,,,,,,
2047,nuclear_electricity,12347.19782,12258.98457,44500.07021,,,,,,,,,,
2048,nuclear_electricity,12770.92512,12710.62103,45133.64179,,,,,,,,,,
2049,nuclear_electricity,13192.98607,13160.72475,45767.21337,,,,,,,,,,
2050,nuclear_electricity,13613.97982,13613.97982,46400.78496,,,,,,,,,,
2051,nuclear_electricity,14035.74396,13892.71216,47034.35654,,,,,,,,,,
2052,nuclear_electricity,14458.94556,14177.15394,47667.92812,,,,,,,,,,
2053,nuclear_electricity,14882.55543,14462.00857,48301.4997,,,,,,,,,,
2054,nuclear_electricity,15305.10229,14745.73531,48935.07128,,,,,,,,,,
2055,nuclear_electricity,15726.4207,15028.28018,49568.64287,,,,,,,,,,
2056,nuclear_electricity,16147.94761,15311.05006,50202.21445,,,,,,,,,,
2057,nuclear_electricity,16570.79346,15595.08682,50835.78603,,,,,,,,,,
